,0
2025-01-01 00:00:00+01:00,102.2
2025-01-01 01:00:00+01:00,98.2
2025-01-01 02:00:00+01:00,72.6
2025-01-01 03:00:00+01:00,67.85
2025-01-01 04:00:00+01:00,62.87
2025-01-01 05:00:00+01:00,58.99
2025-01-01 06:00:00+01:00,68.57
2025-01-01 07:00:00+01:00,74.03
2025-01-01 08:00:00+01:00,76.55
2025-01-01 09:00:00+01:00,88.1
2025-01-01 10:00:00+01:00,85.73
2025-01-01 11:00:00+01:00,75.8
2025-01-01 12:00:00+01:00,70.74
2025-01-01 13:00:00+01:00,68.38
2025-01-01 14:00:00+01:00,65.05
2025-01-01 15:00:00+01:00,82.71
2025-01-01 16:00:00+01:00,104.1
2025-01-01 17:00:00+01:00,107.3
2025-01-01 18:00:00+01:00,108.2
2025-01-01 19:00:00+01:00,106.18
2025-01-01 20:00:00+01:00,102.83
2025-01-01 21:00:00+01:00,102.33
2025-01-01 22:00:00+01:00,103.56
2025-01-01 23:00:00+01:00,102.74
2025-01-02 00:00:00+01:00,108.93
2025-01-02 01:00:00+01:00,109.49
2025-01-02 02:00:00+01:00,107.7
2025-01-02 03:00:00+01:00,107.0
2025-01-02 04:00:00+01:00,106.3
2025-01-02 05:00:00+01:00,106.82
2025-01-02 06:00:00+01:00,110.95
2025-01-02 07:00:00+01:00,125.37
2025-01-02 08:00:00+01:00,132.08
2025-01-02 09:00:00+01:00,133.4
2025-01-02 10:00:00+01:00,130.97
2025-01-02 11:00:00+01:00,127.45
2025-01-02 12:00:00+01:00,124.81
2025-01-02 13:00:00+01:00,126.35
2025-01-02 14:00:00+01:00,128.95
2025-01-02 15:00:00+01:00,134.59
2025-01-02 16:00:00+01:00,138.13
2025-01-02 17:00:00+01:00,143.59
2025-01-02 18:00:00+01:00,144.57
2025-01-02 19:00:00+01:00,141.12
2025-01-02 20:00:00+01:00,135.32
2025-01-02 21:00:00+01:00,125.73
2025-01-02 22:00:00+01:00,125.85
2025-01-02 23:00:00+01:00,115.99
2025-01-03 00:00:00+01:00,108.58
2025-01-03 01:00:00+01:00,107.16
2025-01-03 02:00:00+01:00,106.82
2025-01-03 03:00:00+01:00,104.43
2025-01-03 04:00:00+01:00,105.74
2025-01-03 05:00:00+01:00,110.43
2025-01-03 06:00:00+01:00,118.32
2025-01-03 07:00:00+01:00,127.4
2025-01-03 08:00:00+01:00,135.08
2025-01-03 09:00:00+01:00,134.13
2025-01-03 10:00:00+01:00,131.0
2025-01-03 11:00:00+01:00,126.31
2025-01-03 12:00:00+01:00,121.69
2025-01-03 13:00:00+01:00,120.04
2025-01-03 14:00:00+01:00,121.01
2025-01-03 15:00:00+01:00,128.61
2025-01-03 16:00:00+01:00,137.46
2025-01-03 17:00:00+01:00,146.44
2025-01-03 18:00:00+01:00,146.29
2025-01-03 19:00:00+01:00,143.9
2025-01-03 20:00:00+01:00,137.92
2025-01-03 21:00:00+01:00,131.06
2025-01-03 22:00:00+01:00,129.81
2025-01-03 23:00:00+01:00,126.99
2025-01-04 00:00:00+01:00,120.59
2025-01-04 01:00:00+01:00,119.25
2025-01-04 02:00:00+01:00,114.93
2025-01-04 03:00:00+01:00,110.68
2025-01-04 04:00:00+01:00,110.28
2025-01-04 05:00:00+01:00,111.06
2025-01-04 06:00:00+01:00,119.2
2025-01-04 07:00:00+01:00,126.11
2025-01-04 08:00:00+01:00,132.07
2025-01-04 09:00:00+01:00,133.57
2025-01-04 10:00:00+01:00,131.06
2025-01-04 11:00:00+01:00,126.09
2025-01-04 12:00:00+01:00,124.93
2025-01-04 13:00:00+01:00,126.09
2025-01-04 14:00:00+01:00,128.47
2025-01-04 15:00:00+01:00,136.84
2025-01-04 16:00:00+01:00,144.26
2025-01-04 17:00:00+01:00,152.62
2025-01-04 18:00:00+01:00,147.76
2025-01-04 19:00:00+01:00,140.82
2025-01-04 20:00:00+01:00,134.39
2025-01-04 21:00:00+01:00,126.95
2025-01-04 22:00:00+01:00,126.1
2025-01-04 23:00:00+01:00,119.21
2025-01-05 00:00:00+01:00,119.4
2025-01-05 01:00:00+01:00,114.11
2025-01-05 02:00:00+01:00,110.07
2025-01-05 03:00:00+01:00,105.83
2025-01-05 04:00:00+01:00,107.53
2025-01-05 05:00:00+01:00,115.1
2025-01-05 06:00:00+01:00,119.94
2025-01-05 07:00:00+01:00,124.22
2025-01-05 08:00:00+01:00,127.8
2025-01-05 09:00:00+01:00,129.11
2025-01-05 10:00:00+01:00,128.02
2025-01-05 11:00:00+01:00,126.77
2025-01-05 12:00:00+01:00,126.1
2025-01-05 13:00:00+01:00,126.36
2025-01-05 14:00:00+01:00,130.16
2025-01-05 15:00:00+01:00,132.1
2025-01-05 16:00:00+01:00,133.39
2025-01-05 17:00:00+01:00,132.93
2025-01-05 18:00:00+01:00,132.8
2025-01-05 19:00:00+01:00,131.7
2025-01-05 20:00:00+01:00,127.19
2025-01-05 21:00:00+01:00,117.88
2025-01-05 22:00:00+01:00,119.41
2025-01-05 23:00:00+01:00,120.01
2025-01-06 00:00:00+01:00,115.69
2025-01-06 01:00:00+01:00,105.95
2025-01-06 02:00:00+01:00,98.58
2025-01-06 03:00:00+01:00,94.81
2025-01-06 04:00:00+01:00,98.69
2025-01-06 05:00:00+01:00,112.34
2025-01-06 06:00:00+01:00,123.07
2025-01-06 07:00:00+01:00,132.41
2025-01-06 08:00:00+01:00,132.44
2025-01-06 09:00:00+01:00,132.8
2025-01-06 10:00:00+01:00,130.65
2025-01-06 11:00:00+01:00,128.06
2025-01-06 12:00:00+01:00,123.41
2025-01-06 13:00:00+01:00,123.41
2025-01-06 14:00:00+01:00,127.91
2025-01-06 15:00:00+01:00,137.19
2025-01-06 16:00:00+01:00,137.05
2025-01-06 17:00:00+01:00,139.99
2025-01-06 18:00:00+01:00,137.5
2025-01-06 19:00:00+01:00,134.91
2025-01-06 20:00:00+01:00,129.8
2025-01-06 21:00:00+01:00,128.88
2025-01-06 22:00:00+01:00,125.88
2025-01-06 23:00:00+01:00,122.13
2025-01-07 00:00:00+01:00,118.51
2025-01-07 01:00:00+01:00,115.19
2025-01-07 02:00:00+01:00,115.86
2025-01-07 03:00:00+01:00,115.35
2025-01-07 04:00:00+01:00,111.27
2025-01-07 05:00:00+01:00,118.4
2025-01-07 06:00:00+01:00,124.39
2025-01-07 07:00:00+01:00,131.69
2025-01-07 08:00:00+01:00,138.4
2025-01-07 09:00:00+01:00,134.5
2025-01-07 10:00:00+01:00,133.78
2025-01-07 11:00:00+01:00,136.04
2025-01-07 12:00:00+01:00,131.54
2025-01-07 13:00:00+01:00,129.2
2025-01-07 14:00:00+01:00,134.05
2025-01-07 15:00:00+01:00,140.6
2025-01-07 16:00:00+01:00,145.89
2025-01-07 17:00:00+01:00,145.9
2025-01-07 18:00:00+01:00,142.06
2025-01-07 19:00:00+01:00,139.97
2025-01-07 20:00:00+01:00,135.0
2025-01-07 21:00:00+01:00,131.9
2025-01-07 22:00:00+01:00,131.9
2025-01-07 23:00:00+01:00,128.02
2025-01-08 00:00:00+01:00,115.19
2025-01-08 01:00:00+01:00,109.69
2025-01-08 02:00:00+01:00,104.36
2025-01-08 03:00:00+01:00,102.32
2025-01-08 04:00:00+01:00,103.28
2025-01-08 05:00:00+01:00,117.28
2025-01-08 06:00:00+01:00,129.85
2025-01-08 07:00:00+01:00,136.03
2025-01-08 08:00:00+01:00,138.4
2025-01-08 09:00:00+01:00,135.24
2025-01-08 10:00:00+01:00,134.65
2025-01-08 11:00:00+01:00,131.28
2025-01-08 12:00:00+01:00,127.71
2025-01-08 13:00:00+01:00,128.69
2025-01-08 14:00:00+01:00,135.39
2025-01-08 15:00:00+01:00,143.24
2025-01-08 16:00:00+01:00,146.11
2025-01-08 17:00:00+01:00,146.57
2025-01-08 18:00:00+01:00,150.34
2025-01-08 19:00:00+01:00,141.74
2025-01-08 20:00:00+01:00,134.91
2025-01-08 21:00:00+01:00,128.27
2025-01-08 22:00:00+01:00,126.98
2025-01-08 23:00:00+01:00,118.91
2025-01-09 00:00:00+01:00,117.59
2025-01-09 01:00:00+01:00,109.81
2025-01-09 02:00:00+01:00,102.08
2025-01-09 03:00:00+01:00,101.93
2025-01-09 04:00:00+01:00,102.53
2025-01-09 05:00:00+01:00,113.81
2025-01-09 06:00:00+01:00,132.54
2025-01-09 07:00:00+01:00,151.57
2025-01-09 08:00:00+01:00,170.52
2025-01-09 09:00:00+01:00,151.0
2025-01-09 10:00:00+01:00,149.38
2025-01-09 11:00:00+01:00,144.38
2025-01-09 12:00:00+01:00,138.9
2025-01-09 13:00:00+01:00,134.69
2025-01-09 14:00:00+01:00,131.4
2025-01-09 15:00:00+01:00,132.9
2025-01-09 16:00:00+01:00,131.39
2025-01-09 17:00:00+01:00,135.0
2025-01-09 18:00:00+01:00,134.99
2025-01-09 19:00:00+01:00,132.9
2025-01-09 20:00:00+01:00,126.89
2025-01-09 21:00:00+01:00,123.09
2025-01-09 22:00:00+01:00,122.07
2025-01-09 23:00:00+01:00,114.97
2025-01-10 00:00:00+01:00,109.15
2025-01-10 01:00:00+01:00,105.5
2025-01-10 02:00:00+01:00,98.99
2025-01-10 03:00:00+01:00,95.51
2025-01-10 04:00:00+01:00,95.71
2025-01-10 05:00:00+01:00,106.81
2025-01-10 06:00:00+01:00,117.19
2025-01-10 07:00:00+01:00,126.1
2025-01-10 08:00:00+01:00,133.88
2025-01-10 09:00:00+01:00,131.8
2025-01-10 10:00:00+01:00,127.2
2025-01-10 11:00:00+01:00,122.47
2025-01-10 12:00:00+01:00,120.39
2025-01-10 13:00:00+01:00,117.2
2025-01-10 14:00:00+01:00,117.2
2025-01-10 15:00:00+01:00,127.83
2025-01-10 16:00:00+01:00,137.3
2025-01-10 17:00:00+01:00,146.19
2025-01-10 18:00:00+01:00,148.33
2025-01-10 19:00:00+01:00,143.04
2025-01-10 20:00:00+01:00,133.19
2025-01-10 21:00:00+01:00,125.53
2025-01-10 22:00:00+01:00,122.1
2025-01-10 23:00:00+01:00,117.51
2025-01-11 00:00:00+01:00,113.68
2025-01-11 01:00:00+01:00,113.02
2025-01-11 02:00:00+01:00,109.0
2025-01-11 03:00:00+01:00,107.76
2025-01-11 04:00:00+01:00,107.44
2025-01-11 05:00:00+01:00,108.59
2025-01-11 06:00:00+01:00,111.74
2025-01-11 07:00:00+01:00,114.98
2025-01-11 08:00:00+01:00,120.3
2025-01-11 09:00:00+01:00,119.07
2025-01-11 10:00:00+01:00,114.97
2025-01-11 11:00:00+01:00,108.97
2025-01-11 12:00:00+01:00,108.59
2025-01-11 13:00:00+01:00,108.59
2025-01-11 14:00:00+01:00,108.59
2025-01-11 15:00:00+01:00,112.06
2025-01-11 16:00:00+01:00,119.8
2025-01-11 17:00:00+01:00,127.69
2025-01-11 18:00:00+01:00,133.08
2025-01-11 19:00:00+01:00,132.89
2025-01-11 20:00:00+01:00,127.1
2025-01-11 21:00:00+01:00,123.02
2025-01-11 22:00:00+01:00,121.2
2025-01-11 23:00:00+01:00,113.3
2025-01-12 00:00:00+01:00,103.08
2025-01-12 01:00:00+01:00,97.77
2025-01-12 02:00:00+01:00,94.34
2025-01-12 03:00:00+01:00,91.41
2025-01-12 04:00:00+01:00,90.96
2025-01-12 05:00:00+01:00,93.3
2025-01-12 06:00:00+01:00,99.43
2025-01-12 07:00:00+01:00,103.31
2025-01-12 08:00:00+01:00,114.14
2025-01-12 09:00:00+01:00,119.01
2025-01-12 10:00:00+01:00,116.61
2025-01-12 11:00:00+01:00,110.0
2025-01-12 12:00:00+01:00,107.24
2025-01-12 13:00:00+01:00,106.35
2025-01-12 14:00:00+01:00,109.59
2025-01-12 15:00:00+01:00,120.94
2025-01-12 16:00:00+01:00,130.55
2025-01-12 17:00:00+01:00,137.2
2025-01-12 18:00:00+01:00,143.64
2025-01-12 19:00:00+01:00,140.9
2025-01-12 20:00:00+01:00,133.37
2025-01-12 21:00:00+01:00,126.23
2025-01-12 22:00:00+01:00,122.4
2025-01-12 23:00:00+01:00,117.28
2025-01-13 00:00:00+01:00,114.31
2025-01-13 01:00:00+01:00,110.64
2025-01-13 02:00:00+01:00,107.01
2025-01-13 03:00:00+01:00,105.52
2025-01-13 04:00:00+01:00,105.07
2025-01-13 05:00:00+01:00,115.85
2025-01-13 06:00:00+01:00,140.29
2025-01-13 07:00:00+01:00,165.47
2025-01-13 08:00:00+01:00,185.05
2025-01-13 09:00:00+01:00,157.3
2025-01-13 10:00:00+01:00,140.67
2025-01-13 11:00:00+01:00,130.1
2025-01-13 12:00:00+01:00,122.99
2025-01-13 13:00:00+01:00,121.1
2025-01-13 14:00:00+01:00,124.4
2025-01-13 15:00:00+01:00,132.45
2025-01-13 16:00:00+01:00,150.12
2025-01-13 17:00:00+01:00,166.87
2025-01-13 18:00:00+01:00,167.71
2025-01-13 19:00:00+01:00,159.33
2025-01-13 20:00:00+01:00,143.1
2025-01-13 21:00:00+01:00,129.59
2025-01-13 22:00:00+01:00,125.11
2025-01-13 23:00:00+01:00,118.35
2025-01-14 00:00:00+01:00,124.97
2025-01-14 01:00:00+01:00,121.69
2025-01-14 02:00:00+01:00,118.92
2025-01-14 03:00:00+01:00,117.3
2025-01-14 04:00:00+01:00,117.79
2025-01-14 05:00:00+01:00,123.81
2025-01-14 06:00:00+01:00,137.96
2025-01-14 07:00:00+01:00,166.57
2025-01-14 08:00:00+01:00,184.22
2025-01-14 09:00:00+01:00,167.96
2025-01-14 10:00:00+01:00,143.47
2025-01-14 11:00:00+01:00,133.8
2025-01-14 12:00:00+01:00,128.33
2025-01-14 13:00:00+01:00,129.21
2025-01-14 14:00:00+01:00,131.94
2025-01-14 15:00:00+01:00,156.01
2025-01-14 16:00:00+01:00,164.35
2025-01-14 17:00:00+01:00,170.34
2025-01-14 18:00:00+01:00,190.2
2025-01-14 19:00:00+01:00,184.75
2025-01-14 20:00:00+01:00,172.18
2025-01-14 21:00:00+01:00,150.23
2025-01-14 22:00:00+01:00,137.94
2025-01-14 23:00:00+01:00,131.61
2025-01-15 00:00:00+01:00,123.19
2025-01-15 01:00:00+01:00,118.11
2025-01-15 02:00:00+01:00,115.07
2025-01-15 03:00:00+01:00,112.96
2025-01-15 04:00:00+01:00,115.79
2025-01-15 05:00:00+01:00,123.43
2025-01-15 06:00:00+01:00,151.61
2025-01-15 07:00:00+01:00,191.22
2025-01-15 08:00:00+01:00,222.62
2025-01-15 09:00:00+01:00,210.3
2025-01-15 10:00:00+01:00,178.09
2025-01-15 11:00:00+01:00,168.43
2025-01-15 12:00:00+01:00,162.5
2025-01-15 13:00:00+01:00,159.91
2025-01-15 14:00:00+01:00,169.38
2025-01-15 15:00:00+01:00,174.91
2025-01-15 16:00:00+01:00,175.1
2025-01-15 17:00:00+01:00,209.63
2025-01-15 18:00:00+01:00,213.2
2025-01-15 19:00:00+01:00,201.85
2025-01-15 20:00:00+01:00,176.2
2025-01-15 21:00:00+01:00,159.97
2025-01-15 22:00:00+01:00,141.54
2025-01-15 23:00:00+01:00,134.8
2025-01-16 00:00:00+01:00,128.81
2025-01-16 01:00:00+01:00,123.35
2025-01-16 02:00:00+01:00,120.01
2025-01-16 03:00:00+01:00,118.63
2025-01-16 04:00:00+01:00,119.93
2025-01-16 05:00:00+01:00,129.56
2025-01-16 06:00:00+01:00,145.59
2025-01-16 07:00:00+01:00,192.73
2025-01-16 08:00:00+01:00,216.34
2025-01-16 09:00:00+01:00,187.2
2025-01-16 10:00:00+01:00,162.26
2025-01-16 11:00:00+01:00,142.64
2025-01-16 12:00:00+01:00,138.22
2025-01-16 13:00:00+01:00,137.39
2025-01-16 14:00:00+01:00,144.29
2025-01-16 15:00:00+01:00,163.19
2025-01-16 16:00:00+01:00,188.97
2025-01-16 17:00:00+01:00,207.02
2025-01-16 18:00:00+01:00,208.71
2025-01-16 19:00:00+01:00,192.51
2025-01-16 20:00:00+01:00,153.04
2025-01-16 21:00:00+01:00,139.9
2025-01-16 22:00:00+01:00,134.01
2025-01-16 23:00:00+01:00,127.5
2025-01-17 00:00:00+01:00,123.94
2025-01-17 01:00:00+01:00,120.09
2025-01-17 02:00:00+01:00,117.7
2025-01-17 03:00:00+01:00,116.14
2025-01-17 04:00:00+01:00,117.64
2025-01-17 05:00:00+01:00,123.61
2025-01-17 06:00:00+01:00,140.17
2025-01-17 07:00:00+01:00,176.65
2025-01-17 08:00:00+01:00,206.77
2025-01-17 09:00:00+01:00,176.07
2025-01-17 10:00:00+01:00,149.68
2025-01-17 11:00:00+01:00,135.39
2025-01-17 12:00:00+01:00,128.21
2025-01-17 13:00:00+01:00,126.36
2025-01-17 14:00:00+01:00,131.19
2025-01-17 15:00:00+01:00,146.07
2025-01-17 16:00:00+01:00,169.69
2025-01-17 17:00:00+01:00,177.14
2025-01-17 18:00:00+01:00,190.93
2025-01-17 19:00:00+01:00,178.64
2025-01-17 20:00:00+01:00,156.11
