,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2021-01-01 00:00:00+01:00,185.5,145.25,276.53,3004.7,0.0,14.31
2021-01-01 01:00:00+01:00,238.03,116.15,253.05,3006.0,0.0,14.8
2021-01-01 02:00:00+01:00,157.55,115.3,224.4,3005.6,0.0,10.94
2021-01-01 03:00:00+01:00,97.95,116.25,197.05,3004.8,0.0,9.42
2021-01-01 04:00:00+01:00,73.33,113.2,169.05,3004.9,0.0,4.31
2021-01-01 05:00:00+01:00,87.7,120.58,181.23,3003.1,0.0,3.8
2021-01-01 06:00:00+01:00,98.58,132.83,233.88,3000.4,0.0,3.83
2021-01-01 07:00:00+01:00,121.55,143.85,271.28,3000.4,0.0,5.62
2021-01-01 08:00:00+01:00,50.15,140.45,274.53,3000.9,0.0,6.16
2021-01-01 09:00:00+01:00,90.3,146.88,228.38,3002.4,0.0,5.12
2021-01-01 10:00:00+01:00,92.25,138.23,248.55,2999.9,0.35,3.49
2021-01-01 11:00:00+01:00,60.93,135.4,261.83,2999.4,5.27,2.52
2021-01-01 12:00:00+01:00,86.35,139.15,365.28,2999.9,15.11,2.37
2021-01-01 13:00:00+01:00,91.15,140.25,248.38,2999.6,19.63,2.34
2021-01-01 14:00:00+01:00,98.25,138.95,247.05,3000.2,10.8,2.93
2021-01-01 15:00:00+01:00,134.13,138.38,291.48,2999.7,1.7,2.66
2021-01-01 16:00:00+01:00,263.23,145.73,602.78,3000.7,0.0,3.02
2021-01-01 17:00:00+01:00,845.8,170.88,2137.48,2999.1,0.0,3.04
2021-01-01 18:00:00+01:00,883.48,170.78,2436.85,2999.5,0.0,2.93
2021-01-01 19:00:00+01:00,775.1,164.83,2236.05,3001.0,0.0,1.93
2021-01-01 20:00:00+01:00,571.2,147.38,1507.65,3001.4,0.0,1.37
2021-01-01 21:00:00+01:00,278.15,147.85,577.83,3001.6,0.0,1.52
2021-01-01 22:00:00+01:00,203.03,141.65,521.13,3001.2,0.0,1.07
2021-01-01 23:00:00+01:00,159.33,142.08,327.1,3002.8,0.0,0.89
2021-01-02 00:00:00+01:00,80.18,136.98,198.08,3005.5,0.0,1.04
2021-01-02 01:00:00+01:00,70.78,114.28,229.63,3013.1,0.0,0.88
2021-01-02 02:00:00+01:00,38.43,113.08,206.05,3009.3,0.0,0.67
2021-01-02 03:00:00+01:00,38.83,112.85,222.93,3003.4,0.0,0.76
2021-01-02 04:00:00+01:00,49.08,109.35,222.55,3001.5,0.0,0.83
2021-01-02 05:00:00+01:00,48.55,113.43,218.4,2998.9,0.0,0.79
2021-01-02 06:00:00+01:00,88.75,124.88,239.7,2998.3,0.0,0.68
2021-01-02 07:00:00+01:00,91.23,137.98,263.0,2998.5,0.0,0.81
2021-01-02 08:00:00+01:00,127.4,139.15,392.1,2998.9,0.0,1.1
2021-01-02 09:00:00+01:00,209.53,139.7,421.53,3000.3,0.0,1.54
2021-01-02 10:00:00+01:00,222.53,146.15,413.18,2999.4,4.61,1.3
2021-01-02 11:00:00+01:00,206.6,154.4,442.63,2999.3,15.67,1.64
2021-01-02 12:00:00+01:00,239.85,149.68,593.68,2999.8,20.98,1.44
2021-01-02 13:00:00+01:00,258.4,143.3,551.35,2999.4,27.12,1.06
2021-01-02 14:00:00+01:00,215.05,149.9,596.28,3000.4,15.37,1.47
2021-01-02 15:00:00+01:00,260.63,154.78,838.73,2999.9,1.31,1.5
2021-01-02 16:00:00+01:00,386.95,158.28,1664.88,3001.4,0.0,1.43
2021-01-02 17:00:00+01:00,578.8,154.35,2297.08,3002.3,0.0,1.35
2021-01-02 18:00:00+01:00,626.65,152.08,2039.83,3000.3,0.0,1.38
2021-01-02 19:00:00+01:00,506.38,149.78,1756.65,3002.0,0.0,1.27
2021-01-02 20:00:00+01:00,146.58,144.43,847.8,3001.5,0.0,1.21
2021-01-02 21:00:00+01:00,126.7,134.63,501.95,3002.6,0.0,1.07
2021-01-02 22:00:00+01:00,174.5,132.55,311.85,3005.1,0.0,1.43
2021-01-02 23:00:00+01:00,166.8,135.9,265.53,3005.9,0.0,1.26
2021-01-03 00:00:00+01:00,107.3,121.75,197.23,3004.6,0.0,0.93
2021-01-03 01:00:00+01:00,121.1,106.6,185.33,3007.0,0.0,1.16
