time,model,predicted,actual
2026-05-21 04:15:00+00:00,naive,114.51,144.64
2026-05-21 04:30:00+00:00,naive,113.14,145.69
2026-05-21 04:45:00+00:00,naive,104.2,145.44
2026-05-21 05:00:00+00:00,naive,120.91,155.12
2026-05-21 05:15:00+00:00,naive,109.2,148.25
2026-05-21 05:30:00+00:00,naive,103.11,141.26
2026-05-21 05:45:00+00:00,naive,99.14,129.84
2026-05-21 06:00:00+00:00,naive,110.5,153.0
2026-05-21 06:15:00+00:00,naive,105.01,134.38
2026-05-21 06:30:00+00:00,naive,97.9,124.15
2026-05-21 06:45:00+00:00,naive,83.62,114.02
2026-05-21 07:00:00+00:00,naive,101.03,118.59
2026-05-21 07:15:00+00:00,naive,95.18,103.93
2026-05-21 07:30:00+00:00,naive,80.4,100.82
2026-05-21 07:45:00+00:00,naive,63.99,93.22
2026-05-21 08:00:00+00:00,naive,82.65,98.62
2026-05-21 08:15:00+00:00,naive,64.0,91.92
2026-05-21 08:30:00+00:00,naive,50.07,79.01
2026-05-21 08:45:00+00:00,naive,37.85,55.24
2026-05-21 09:00:00+00:00,naive,43.4,71.73
2026-05-21 09:15:00+00:00,naive,40.09,54.02
2026-05-21 09:30:00+00:00,naive,33.72,30.26
2026-05-21 09:45:00+00:00,naive,25.06,15.0
2026-05-21 10:00:00+00:00,naive,23.78,15.0
2026-05-21 10:15:00+00:00,naive,15.97,11.77
2026-05-21 10:30:00+00:00,naive,14.22,11.77
2026-05-21 10:45:00+00:00,naive,10.25,10.01
2026-05-21 11:00:00+00:00,naive,10.21,10.12
2026-05-21 11:15:00+00:00,naive,8.25,8.45
2026-05-21 11:30:00+00:00,naive,6.51,6.26
2026-05-21 11:45:00+00:00,naive,5.24,4.65
2026-05-21 12:00:00+00:00,naive,3.31,5.0
2026-05-21 12:15:00+00:00,naive,4.53,9.1
2026-05-21 12:30:00+00:00,naive,4.83,9.34
2026-05-21 12:45:00+00:00,naive,5.74,11.81
2026-05-21 13:00:00+00:00,naive,5.02,9.1
2026-05-21 13:15:00+00:00,naive,7.84,20.08
2026-05-21 13:30:00+00:00,naive,17.97,46.72
2026-05-21 13:45:00+00:00,naive,40.56,64.9
2026-05-21 14:00:00+00:00,naive,24.03,27.57
2026-05-21 14:15:00+00:00,naive,56.23,67.33
2026-05-21 14:30:00+00:00,naive,81.85,90.66
2026-05-21 14:45:00+00:00,naive,105.54,101.27
2026-05-21 15:00:00+00:00,naive,60.46,78.07
2026-05-21 15:15:00+00:00,naive,90.51,100.0
2026-05-21 15:30:00+00:00,naive,102.94,110.97
2026-05-21 15:45:00+00:00,naive,125.13,130.94
2026-05-21 16:00:00+00:00,naive,105.78,113.13
2026-05-21 16:15:00+00:00,naive,122.08,130.93
2026-05-21 16:30:00+00:00,naive,132.29,146.45
2026-05-21 16:45:00+00:00,naive,143.85,153.04
2026-05-21 17:00:00+00:00,naive,132.96,141.59
2026-05-21 17:15:00+00:00,naive,138.21,153.0
2026-05-21 17:30:00+00:00,naive,146.06,164.02
2026-05-21 17:45:00+00:00,naive,153.1,194.81
2026-05-21 18:00:00+00:00,naive,143.03,176.01
2026-05-21 18:15:00+00:00,naive,148.37,194.58
2026-05-21 18:30:00+00:00,naive,153.06,218.71
2026-05-21 18:45:00+00:00,naive,157.33,229.48
2026-05-21 19:00:00+00:00,naive,153.84,216.56
2026-05-21 19:15:00+00:00,naive,154.67,194.74
2026-05-21 19:30:00+00:00,naive,152.76,179.72
2026-05-21 19:45:00+00:00,naive,147.54,162.65
