,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
2025-01-01 00:00:00+01:00,3962.02,3252.95,668.74,4711.32,3029.33,382.15,33.05,453.12,720.5,1335.87,108.62,211.68,97.99,9.97,0.0,718.84,2415.09,32973.68,0.0
2025-01-01 00:15:00+01:00,3833.93,3266.7,568.02,4695.41,2754.7,382.21,33.1,838.35,828.88,1347.32,160.71,211.73,98.1,9.32,0.0,718.61,2601.31,32832.53,0.0
2025-01-01 00:30:00+01:00,3775.02,3263.39,567.08,4651.01,2727.53,382.17,33.03,435.38,940.38,1346.97,75.11,211.75,98.43,9.37,0.0,718.95,2542.27,32832.18,0.0
2025-01-01 00:45:00+01:00,3747.85,3294.67,579.25,4713.69,2714.25,382.16,33.15,105.91,979.74,1370.82,58.05,211.7,98.55,9.56,0.0,719.4,2450.01,32895.95,0.0
2025-01-01 01:00:00+01:00,3811.77,3831.48,570.68,4507.3,2706.76,382.17,33.38,366.99,658.07,1349.15,58.47,211.64,98.38,9.93,0.0,722.66,2252.6,33260.24,0.0
2025-01-01 01:15:00+01:00,3763.22,3856.79,560.18,4232.55,2726.4,382.2,33.22,84.92,856.79,1320.76,30.16,211.59,98.47,9.91,0.0,715.81,2509.98,33493.71,0.0
2025-01-01 01:30:00+01:00,3759.65,3684.6,567.52,4211.81,2718.56,382.16,33.19,124.7,1319.66,1337.96,55.53,211.54,98.44,9.07,0.0,723.99,2410.54,33644.01,0.0
2025-01-01 01:45:00+01:00,3763.83,3584.13,581.01,4360.19,2724.12,382.18,33.22,0.27,1566.62,1353.07,55.39,211.53,98.08,9.27,0.0,723.06,2407.95,33717.47,0.0
2025-01-01 02:00:00+01:00,3727.75,3309.45,564.07,4186.85,2722.58,382.18,33.21,3.78,1625.8,1326.13,35.06,211.5,97.99,9.34,0.0,718.85,2676.36,33789.14,0.0
2025-01-01 02:15:00+01:00,3752.76,3256.01,532.38,4236.27,2726.26,382.18,33.27,0.2,2103.82,1315.6,17.29,211.88,98.11,9.25,0.0,718.47,2663.94,33935.6,0.0
2025-01-01 02:30:00+01:00,3752.67,3266.21,543.02,4220.49,2713.75,382.15,33.26,0.16,2521.47,1337.04,40.34,211.75,98.16,9.28,0.0,721.03,2586.33,33726.85,0.0
2025-01-01 02:45:00+01:00,3765.72,3228.51,513.15,4229.14,2705.26,382.15,33.46,0.16,2749.03,1320.41,22.99,211.7,98.09,9.3,0.0,719.63,2529.92,33713.79,0.0
2025-01-01 03:00:00+01:00,3762.24,3232.61,502.67,4190.77,2712.8,382.15,33.57,305.96,2225.98,1316.95,21.86,211.92,97.77,9.98,0.0,711.86,1805.15,32742.62,0.0
2025-01-01 03:15:00+01:00,3754.73,3223.0,488.43,4265.79,2646.26,382.18,33.61,81.61,2531.34,1313.73,22.81,211.49,92.08,9.22,0.0,713.66,1746.86,32633.85,0.0
2025-01-01 03:30:00+01:00,3736.27,3220.74,490.64,4324.93,2592.69,382.17,33.53,0.21,2773.61,1303.41,15.07,211.49,89.73,9.18,0.0,717.63,1640.57,32962.03,0.0
2025-01-01 03:45:00+01:00,3744.55,3229.4,496.16,4338.03,2604.41,382.15,33.66,0.19,3049.07,1300.7,9.26,211.44,94.8,9.27,0.0,717.95,1544.3,33267.67,0.0
2025-01-01 04:00:00+01:00,3740.62,3250.98,487.77,4340.14,2592.67,382.13,33.64,10.36,4082.64,1304.38,60.26,211.49,94.9,9.38,0.0,709.79,1424.04,33096.77,0.0
2025-01-01 04:15:00+01:00,3725.39,3241.2,475.86,4349.55,2603.97,382.19,33.71,1.58,4682.07,1304.0,17.6,211.53,95.06,9.2,0.0,721.87,1379.26,32987.57,0.0
2025-01-01 04:30:00+01:00,3715.99,3232.89,467.37,4308.08,2586.68,382.17,33.77,1.29,4746.9,1306.4,21.89,211.63,95.14,9.18,0.0,719.85,1296.56,33142.75,0.0
2025-01-01 04:45:00+01:00,3713.29,3224.66,465.49,4341.97,2549.07,382.18,33.8,0.07,4753.27,1296.28,12.9,211.63,89.42,9.11,0.0,717.28,1211.09,33366.49,0.0
2025-01-01 05:00:00+01:00,3706.8,3214.19,469.07,4445.43,2405.92,382.16,33.66,0.0,5098.69,1291.31,9.36,211.47,91.84,9.71,0.0,726.16,1267.05,33485.5,0.0
2025-01-01 05:15:00+01:00,3718.44,3224.91,470.84,4472.89,2389.23,382.17,33.61,0.0,5187.1,1297.35,11.02,211.51,95.85,8.88,0.0,720.31,1230.54,33520.07,0.0
2025-01-01 05:30:00+01:00,3730.11,3232.82,462.29,4468.65,2404.99,382.16,33.52,0.0,5207.88,1298.35,10.7,211.51,97.54,8.91,0.0,719.86,1166.72,33686.33,0.0
