,Forecasted Load
2025-11-01 00:00:00+01:00,44824.44
2025-11-01 00:15:00+01:00,44263.37
2025-11-01 00:30:00+01:00,43719.99
2025-11-01 00:45:00+01:00,43173.44
2025-11-01 01:00:00+01:00,42618.52
2025-11-01 01:15:00+01:00,42338.98
2025-11-01 01:30:00+01:00,41984.42
2025-11-01 01:45:00+01:00,41748.36
2025-11-01 02:00:00+01:00,41502.1
2025-11-01 02:15:00+01:00,41296.44
2025-11-01 02:30:00+01:00,41157.65
2025-11-01 02:45:00+01:00,40835.11
2025-11-01 03:00:00+01:00,40765.23
2025-11-01 03:15:00+01:00,40769.95
2025-11-01 03:30:00+01:00,40633.15
2025-11-01 03:45:00+01:00,40473.03
2025-11-01 04:00:00+01:00,40483.74
2025-11-01 04:15:00+01:00,40557.11
2025-11-01 04:30:00+01:00,40786.41
2025-11-01 04:45:00+01:00,40723.91
2025-11-01 05:00:00+01:00,40968.38
2025-11-01 05:15:00+01:00,41044.52
2025-11-01 05:30:00+01:00,38782.31
2025-11-01 05:45:00+01:00,38992.55
2025-11-01 06:00:00+01:00,39406.79
2025-11-01 06:15:00+01:00,39797.88
2025-11-01 06:30:00+01:00,40096.5
2025-11-01 06:45:00+01:00,40483.24
2025-11-01 07:00:00+01:00,41503.03
2025-11-01 07:15:00+01:00,41995.95
2025-11-01 07:30:00+01:00,42818.13
2025-11-01 07:45:00+01:00,43451.96
2025-11-01 08:00:00+01:00,44367.93
2025-11-01 08:15:00+01:00,45227.23
2025-11-01 08:30:00+01:00,46171.37
2025-11-01 08:45:00+01:00,46977.18
2025-11-01 09:00:00+01:00,47622.88
2025-11-01 09:15:00+01:00,48535.27
2025-11-01 09:30:00+01:00,49275.75
2025-11-01 09:45:00+01:00,50142.55
2025-11-01 10:00:00+01:00,50492.49
2025-11-01 10:15:00+01:00,50940.37
2025-11-01 10:30:00+01:00,51530.58
2025-11-01 10:45:00+01:00,51653.72
2025-11-01 11:00:00+01:00,52105.52
2025-11-01 11:15:00+01:00,52445.39
2025-11-01 11:30:00+01:00,52770.63
2025-11-01 11:45:00+01:00,52578.12
2025-11-01 12:00:00+01:00,52529.81
