,Solar,Wind Offshore,Wind Onshore
2025-11-01 00:00:00+01:00,0.0,5534.62,18566.97581
2025-11-01 00:15:00+01:00,0.0,5524.11,18515.60437
2025-11-01 00:30:00+01:00,0.0,5515.58,18454.93913
2025-11-01 00:45:00+01:00,0.0,5502.76,18393.23093
2025-11-01 01:00:00+01:00,0.0,5496.27,18289.42617
2025-11-01 01:15:00+01:00,0.0,5485.1,18168.0972
2025-11-01 01:30:00+01:00,0.0,5471.82,18070.88492
2025-11-01 01:45:00+01:00,0.0,5456.26,17985.11687
2025-11-01 02:00:00+01:00,0.0,5443.75,17950.46488
2025-11-01 02:15:00+01:00,0.0,5426.85,17965.42551
2025-11-01 02:30:00+01:00,0.0,5416.02,17978.71927
2025-11-01 02:45:00+01:00,0.0,5398.23,17995.82536
2025-11-01 03:00:00+01:00,0.0,5385.69,18046.34375
2025-11-01 03:15:00+01:00,0.0,5377.49,18147.4269
2025-11-01 03:30:00+01:00,0.0,5370.22,18260.0473
2025-11-01 03:45:00+01:00,0.0,5361.77,18372.72762
2025-11-01 04:00:00+01:00,0.0,5355.04,18507.3553
2025-11-01 04:15:00+01:00,0.0,5351.54,18722.92855
2025-11-01 04:30:00+01:00,0.0,5351.97,18938.12264
2025-11-01 04:45:00+01:00,0.0,5351.49,19165.80887
2025-11-01 05:00:00+01:00,0.0,5358.21,19431.73718
2025-11-01 05:15:00+01:00,0.0,5402.77,19739.22301
2025-11-01 05:30:00+01:00,0.0,5439.59,20047.6513
2025-11-01 05:45:00+01:00,0.0,5479.28,20346.05605
2025-11-01 06:00:00+01:00,0.0,5590.81,20945.12857
2025-11-01 06:15:00+01:00,0.0,5609.29,21149.14448
2025-11-01 06:30:00+01:00,0.0,5624.73,21344.40628
2025-11-01 06:45:00+01:00,0.411,5600.27,21502.31028
2025-11-01 07:00:00+01:00,205.6757,5602.16,21604.35839
2025-11-01 07:15:00+01:00,887.48649,5595.45,21720.42773
2025-11-01 07:30:00+01:00,1999.10519,5587.5,21877.57203
2025-11-01 07:45:00+01:00,3402.60023,5581.13,22066.15159
2025-11-01 08:00:00+01:00,4971.82557,5567.07,22218.38833
2025-11-01 08:15:00+01:00,6643.98068,5556.3,22257.32278
2025-11-01 08:30:00+01:00,8318.73044,5540.58,22281.10827
2025-11-01 08:45:00+01:00,9917.83461,5518.15,22286.64147
2025-11-01 09:00:00+01:00,11403.8666,5498.93,22250.67232
2025-11-01 09:15:00+01:00,12794.11559,5485.46,22063.20431
2025-11-01 09:30:00+01:00,14051.7932,5462.97,21876.27538
2025-11-01 09:45:00+01:00,15142.64546,5453.43,21687.75404
2025-11-01 10:00:00+01:00,16088.2614,5431.15,21437.3605
2025-11-01 10:15:00+01:00,16906.51887,5434.97,21012.23484
2025-11-01 10:30:00+01:00,17573.32316,5437.86,20592.54858
2025-11-01 10:45:00+01:00,18048.46303,5452.99,20173.62036
2025-11-01 11:00:00+01:00,18313.67079,5466.45,19840.55162
2025-11-01 11:15:00+01:00,18402.65655,5478.69,19628.48067
2025-11-01 11:30:00+01:00,18261.73455,5487.1,19428.26835
2025-11-01 11:45:00+01:00,17899.90552,5491.89,19290.35238
2025-11-01 12:00:00+01:00,17427.45467,5503.94,19198.94349
2025-11-01 12:15:00+01:00,16827.92162,5535.38,19227.87305
2025-11-01 12:30:00+01:00,16029.62304,5565.87,19374.2118
2025-11-01 12:45:00+01:00,15039.81096,5596.15,19566.48923
2025-11-01 13:00:00+01:00,13969.96158,5634.39,19832.77917
2025-11-01 13:15:00+01:00,12870.66764,5669.15,20181.27382
2025-11-01 13:30:00+01:00,11731.28276,5707.32,20566.05808
2025-11-01 13:45:00+01:00,10564.07002,5734.34,20913.22878
2025-11-01 14:00:00+01:00,9418.11459,5760.19,21283.89204
2025-11-01 14:15:00+01:00,8279.94486,5819.32,21665.3048
2025-11-01 14:30:00+01:00,7159.7571,5881.36,22021.05836
2025-11-01 14:45:00+01:00,6072.1416,5941.15,22379.77265
2025-11-01 15:00:00+01:00,5019.6956,5986.08,22752.07991
2025-11-01 15:15:00+01:00,4002.38155,6041.8,22983.1655
2025-11-01 15:30:00+01:00,3028.296,6093.34,23161.87379
2025-11-01 15:45:00+01:00,2132.54015,6134.72,23327.12353
2025-11-01 16:00:00+01:00,1360.89913,6164.48,23548.02316
2025-11-01 16:15:00+01:00,743.72883,6228.42,23686.60109
2025-11-01 16:30:00+01:00,320.276,6285.92,23788.84429
2025-11-01 16:45:00+01:00,107.55095,6336.42,23870.46524
