,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2024-01-01 00:00:00+01:00,152.3,63.8,106.1,27.6,3.41,0.76,0.0,30.77,1199.57,1310.84
2024-01-01 01:00:00+01:00,161.28,64.84,100.75,26.61,3.41,0.66,0.0,28.01,1176.5,1174.24
2024-01-01 02:00:00+01:00,148.02,69.11,107.7,27.98,3.41,0.8,0.0,28.06,1145.3,1093.65
2024-01-01 03:00:00+01:00,123.14,60.04,103.24,27.11,3.48,0.71,0.0,24.84,1157.28,1049.99
2024-01-01 04:00:00+01:00,122.59,60.56,105.34,27.5,3.52,0.75,0.0,25.16,786.57,936.01
2024-01-01 05:00:00+01:00,122.84,59.69,103.86,27.2,3.51,0.72,0.0,25.14,786.87,934.41
2024-01-01 06:00:00+01:00,123.06,66.67,109.69,28.37,3.51,0.84,0.0,25.46,724.27,1024.69
2024-01-01 07:00:00+01:00,122.9,73.79,114.6,28.75,3.51,0.88,0.0,25.53,761.77,1098.24
2024-01-01 08:00:00+01:00,122.26,70.68,108.83,28.24,3.51,0.82,0.0,24.9,665.79,1111.11
2024-01-01 09:00:00+01:00,122.95,71.65,111.87,28.54,3.52,0.85,6.17,29.58,1044.69,1152.1
2024-01-01 10:00:00+01:00,145.21,111.63,148.64,29.57,3.51,0.96,26.03,30.44,974.35,1163.2
2024-01-01 11:00:00+01:00,147.59,122.75,152.03,29.58,3.51,0.96,40.61,30.1,879.72,1143.92
2024-01-01 12:00:00+01:00,165.6,128.52,155.89,29.81,3.51,0.98,58.19,30.86,729.87,1121.73
2024-01-01 13:00:00+01:00,185.36,131.21,159.78,30.86,3.51,1.09,56.02,30.9,588.31,1162.9
2024-01-01 14:00:00+01:00,195.7,123.86,156.09,30.15,3.58,1.02,29.0,32.59,530.11,1206.53
2024-01-01 15:00:00+01:00,261.04,136.62,166.78,31.49,3.6,1.15,5.7,49.33,516.23,1261.57
2024-01-01 16:00:00+01:00,287.32,169.71,269.12,32.6,3.6,1.26,0.0,49.92,570.63,1351.59
2024-01-01 17:00:00+01:00,293.39,173.63,338.07,32.55,3.6,1.39,0.0,49.8,577.18,1391.41
2024-01-01 18:00:00+01:00,287.95,175.18,333.53,32.36,3.6,2.31,0.0,49.5,609.99,1435.2
2024-01-01 19:00:00+01:00,297.67,174.52,317.65,32.54,3.6,2.32,0.0,47.46,674.92,1433.25
2024-01-01 20:00:00+01:00,233.18,148.92,174.03,32.29,3.6,2.3,0.0,49.0,761.0,1415.0
2024-01-01 21:00:00+01:00,195.86,136.69,158.79,31.32,3.6,2.2,0.0,33.35,863.04,1460.15
2024-01-01 22:00:00+01:00,188.87,134.28,158.12,30.63,3.6,1.09,0.0,30.84,915.19,1490.56
2024-01-01 23:00:00+01:00,191.18,103.61,124.67,30.11,3.59,1.01,0.0,30.34,920.7,1493.33
2024-01-02 00:00:00+01:00,89.05,86.37,114.12,29.24,3.6,0.92,0.0,29.74,841.0,1486.69
2024-01-02 01:00:00+01:00,47.47,78.53,116.14,29.56,3.61,0.96,0.0,29.65,713.86,1483.38
2024-01-02 02:00:00+01:00,107.9,78.64,110.72,28.52,3.6,0.85,0.0,29.37,671.57,1457.65
2024-01-02 03:00:00+01:00,144.21,73.91,103.98,27.1,3.6,0.71,0.0,23.91,682.88,1443.51
2024-01-02 04:00:00+01:00,133.75,69.97,110.07,27.3,3.59,0.73,0.0,23.58,800.41,1497.62
2024-01-02 05:00:00+01:00,146.94,71.83,141.67,27.36,3.59,0.74,0.0,25.64,962.0,1669.03
2024-01-02 06:00:00+01:00,220.35,103.75,162.93,30.24,3.59,1.02,0.0,47.56,1185.49,1843.42
2024-01-02 07:00:00+01:00,257.51,131.2,320.04,32.08,3.55,1.21,0.0,47.82,1232.63,2015.12
2024-01-02 08:00:00+01:00,272.54,170.62,336.7,33.34,3.31,1.33,0.0,48.78,1249.1,2262.76
2024-01-02 09:00:00+01:00,320.03,185.44,329.28,31.45,3.3,1.15,9.74,48.15,1245.2,2547.24
2024-01-02 10:00:00+01:00,291.11,287.87,339.95,33.52,3.3,1.35,41.22,49.6,1250.13,2836.97
2024-01-02 11:00:00+01:00,291.52,296.38,347.65,35.02,3.29,1.5,64.54,50.33,1251.75,2950.37
2024-01-02 12:00:00+01:00,295.68,305.28,346.95,34.95,3.3,1.5,71.55,50.32,1246.37,3041.73
2024-01-02 13:00:00+01:00,331.48,293.1,346.42,34.83,3.3,1.48,52.18,49.52,1252.25,3113.28
2024-01-02 14:00:00+01:00,324.08,300.21,354.63,36.52,3.3,1.78,27.12,51.02,1265.1,3226.33
2024-01-02 15:00:00+01:00,331.62,352.18,403.91,46.23,3.3,3.69,5.24,54.43,1282.92,3322.95
2024-01-02 16:00:00+01:00,344.19,360.27,411.2,47.68,3.3,3.84,0.0,55.41,1296.24,3448.08
2024-01-02 17:00:00+01:00,319.68,357.3,412.22,47.7,3.29,3.84,0.0,54.35,1293.8,3490.88
2024-01-02 18:00:00+01:00,321.31,330.42,402.55,45.73,3.29,3.64,0.0,54.28,1288.63,3512.43
