time,model,predicted,actual
2026-05-16 04:15:00+00:00,naive,126.940002,104.550003
2026-05-16 04:30:00+00:00,naive,125.65,103.21
2026-05-16 04:45:00+00:00,naive,119.69,98.97
2026-05-16 05:00:00+00:00,naive,124.89,106.03
2026-05-16 05:15:00+00:00,naive,121.239998,101.419998
2026-05-16 05:30:00+00:00,naive,117.169998,96.870003
2026-05-16 05:45:00+00:00,naive,102.830002,88.660004
2026-05-16 06:00:00+00:00,naive,130.95,99.06
2026-05-16 06:15:00+00:00,naive,114.45,92.96
2026-05-16 06:30:00+00:00,naive,101.81,79.77
2026-05-16 06:45:00+00:00,naive,75.720001,60.720001
2026-05-16 07:00:00+00:00,naive,123.95,99.25
2026-05-16 07:15:00+00:00,naive,83.47,63.91
2026-05-16 07:30:00+00:00,naive,36.310001,25.5
2026-05-16 07:45:00+00:00,naive,14.36,22.83
2026-05-16 08:00:00+00:00,naive,33.060001,53.830002
2026-05-16 08:15:00+00:00,naive,14.79,38.92
2026-05-16 08:30:00+00:00,naive,6.58,33.549999
2026-05-16 08:45:00+00:00,naive,4.96,27.82
2026-05-16 09:00:00+00:00,naive,5.93,49.15
2026-05-16 09:15:00+00:00,naive,5.0,40.459999
2026-05-16 09:30:00+00:00,naive,4.48,20.07
2026-05-16 09:45:00+00:00,naive,3.98,19.09
2026-05-16 10:00:00+00:00,naive,3.12,51.88
2026-05-16 10:15:00+00:00,naive,3.33,35.450001
2026-05-16 10:30:00+00:00,naive,3.43,29.77
2026-05-16 10:45:00+00:00,naive,3.41,20.08
2026-05-16 11:00:00+00:00,naive,2.93,38.65
2026-05-16 11:15:00+00:00,naive,2.66,30.99
2026-05-16 11:30:00+00:00,naive,2.51,30.46
2026-05-16 11:45:00+00:00,naive,2.46,27.75
2026-05-16 12:00:00+00:00,naive,2.55,20.0
2026-05-16 12:15:00+00:00,naive,2.88,20.0
2026-05-16 12:30:00+00:00,naive,2.75,15.78
2026-05-16 12:45:00+00:00,naive,3.0,16.05
2026-05-16 13:00:00+00:00,naive,2.22,11.0
2026-05-16 13:15:00+00:00,naive,3.07,12.16
2026-05-16 13:30:00+00:00,naive,3.42,18.23
2026-05-16 13:45:00+00:00,naive,4.24,30.58
2026-05-16 14:00:00+00:00,naive,4.93,6.7
2026-05-16 14:15:00+00:00,naive,10.05,11.2
2026-05-16 14:30:00+00:00,naive,26.54,20.0
2026-05-16 14:45:00+00:00,naive,66.959999,54.700001
2026-05-16 15:00:00+00:00,naive,36.27,6.7
2026-05-16 15:15:00+00:00,naive,87.809998,44.549999
2026-05-16 15:30:00+00:00,naive,112.519997,87.919998
2026-05-16 15:45:00+00:00,naive,131.41,108.62
2026-05-16 16:00:00+00:00,naive,108.65,70.07
2026-05-16 16:15:00+00:00,naive,121.01,94.17
2026-05-16 16:30:00+00:00,naive,124.6,112.46
2026-05-16 16:45:00+00:00,naive,138.169998,117.989998
2026-05-16 17:00:00+00:00,naive,126.940002,110.080002
2026-05-16 17:15:00+00:00,naive,132.110001,118.82
2026-05-16 17:30:00+00:00,naive,140.100006,122.690002
2026-05-16 17:45:00+00:00,naive,154.880005,130.5
2026-05-16 18:00:00+00:00,naive,143.42,131.41
2026-05-16 18:15:00+00:00,naive,147.03,135.04
2026-05-16 18:30:00+00:00,naive,148.690002,137.820007
2026-05-16 18:45:00+00:00,naive,148.720001,142.440002
2026-05-16 19:00:00+00:00,naive,157.520004,140.160004
2026-05-16 19:15:00+00:00,naive,146.09,136.47
2026-05-16 19:30:00+00:00,naive,139.63,136.76
2026-05-16 19:45:00+00:00,naive,130.699997,136.979996
2026-05-16 20:00:00+00:00,naive,145.87,134.96
2026-05-16 20:15:00+00:00,naive,140.28,133.98
2026-05-16 20:30:00+00:00,naive,132.1,130.48
2026-05-16 20:45:00+00:00,naive,126.970001,127.07
2026-05-16 21:00:00+00:00,naive,132.09,126.84
2026-05-16 21:15:00+00:00,naive,127.529999,124.370003
2026-05-16 21:30:00+00:00,naive,126.15,124.07
2026-05-16 21:45:00+00:00,naive,122.58,115.95
2026-05-16 22:00:00+00:00,naive,133.410004,135.460007
2026-05-16 22:15:00+00:00,naive,127.489998,127.870003
2026-05-16 22:30:00+00:00,naive,126.010002,120.519997
2026-05-16 22:45:00+00:00,naive,125.480003,117.800003
2026-05-16 23:00:00+00:00,naive,127.57,123.5
2026-05-16 23:15:00+00:00,naive,126.5,116.6
2026-05-16 23:30:00+00:00,naive,124.699997,114.410004
2026-05-16 23:45:00+00:00,naive,123.06,113.15
