,Solar,Wind Offshore,Wind Onshore
2025-11-01 00:00:00+01:00,0.0,553.5,169.0
2025-11-01 00:15:00+01:00,0.0,549.0,164.833333
2025-11-01 00:30:00+01:00,0.0,544.5,159.166666
2025-11-01 00:45:00+01:00,0.0,539.5,155.5
2025-11-01 01:00:00+01:00,0.0,533.5,155.0
2025-11-01 01:15:00+01:00,0.0,524.666666,157.5
2025-11-01 01:30:00+01:00,0.0,514.166666,161.333333
2025-11-01 01:45:00+01:00,0.0,503.166666,162.833333
2025-11-01 02:00:00+01:00,0.0,492.833333,159.333333
2025-11-01 02:15:00+01:00,0.0,479.5,151.833333
2025-11-01 02:30:00+01:00,0.0,465.0,145.166666
2025-11-01 02:45:00+01:00,0.0,453.166666,140.666666
2025-11-01 03:00:00+01:00,0.0,445.5,138.333333
2025-11-01 03:15:00+01:00,0.0,437.5,133.166666
2025-11-01 03:30:00+01:00,0.0,428.666666,128.666666
2025-11-01 03:45:00+01:00,0.0,421.166666,125.5
2025-11-01 04:00:00+01:00,0.0,414.666666,123.0
2025-11-01 04:15:00+01:00,0.0,404.0,120.5
2025-11-01 04:30:00+01:00,0.0,392.5,117.5
2025-11-01 04:45:00+01:00,0.0,385.833333,114.5
2025-11-01 05:00:00+01:00,0.0,382.666666,111.0
2025-11-01 05:15:00+01:00,0.0,382.0,107.5
2025-11-01 05:30:00+01:00,0.0,383.0,105.333333
2025-11-01 05:45:00+01:00,0.0,384.166666,103.0
2025-11-01 06:00:00+01:00,0.0,385.0,101.0
2025-11-01 06:15:00+01:00,0.0,385.5,99.5
2025-11-01 06:30:00+01:00,0.098333,386.0,98.166666
2025-11-01 06:45:00+01:00,0.868333,386.5,97.166666
2025-11-01 07:00:00+01:00,2.421666,386.166666,98.666666
2025-11-01 07:15:00+01:00,4.596666,385.0,104.333333
2025-11-01 07:30:00+01:00,8.088333,383.5,114.666666
2025-11-01 07:45:00+01:00,21.86,383.0,124.5
2025-11-01 08:00:00+01:00,53.758333,383.166666,135.666666
2025-11-01 08:15:00+01:00,95.166666,385.5,143.5
2025-11-01 08:30:00+01:00,131.781666,388.5,150.833333
2025-11-01 08:45:00+01:00,163.353333,392.5,155.666666
2025-11-01 09:00:00+01:00,194.266666,398.0,160.166666
2025-11-01 09:15:00+01:00,221.036666,405.666666,163.666666
