,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore
2024-01-01 01:00:00+02:00,51.0,51.8,6.2,152.7,0.0,1.2,0.0,0.6,0.3,6.2,33.3
2024-01-01 02:00:00+02:00,49.1,49.8,6.2,157.5,0.0,1.2,0.0,0.6,0.1,5.9,30.9
2024-01-01 03:00:00+02:00,49.5,51.5,6.2,118.0,0.0,1.2,0.0,0.6,0.1,6.2,45.0
2024-01-01 04:00:00+02:00,48.4,52.6,6.2,115.6,0.0,1.2,0.0,0.6,0.1,6.3,42.9
2024-01-01 05:00:00+02:00,49.1,53.0,6.2,131.9,0.0,1.2,0.0,0.6,0.2,6.4,46.8
2024-01-01 06:00:00+02:00,48.8,50.6,6.3,121.8,0.0,1.2,0.0,0.6,0.2,8.3,61.3
2024-01-01 07:00:00+02:00,49.8,51.2,6.4,115.9,0.0,1.2,0.0,0.6,0.2,13.7,72.5
2024-01-01 08:00:00+02:00,49.1,48.2,6.2,115.4,0.0,1.2,0.0,0.6,0.4,14.5,79.5
2024-01-01 09:00:00+02:00,45.8,47.4,6.4,114.2,0.0,1.2,0.0,0.6,1.9,15.3,76.5
2024-01-01 10:00:00+02:00,42.7,46.7,6.4,114.4,0.0,1.2,0.0,0.6,10.7,15.6,78.9
2024-01-01 11:00:00+02:00,38.8,47.0,6.4,115.2,0.0,1.2,0.0,0.6,22.1,15.2,77.4
2024-01-01 12:00:00+02:00,44.7,48.0,6.3,117.6,0.0,1.2,0.0,0.6,26.5,16.0,78.0
2024-01-01 13:00:00+02:00,53.1,45.1,6.4,119.7,0.0,1.2,0.0,0.6,22.4,15.5,77.8
2024-01-01 14:00:00+02:00,54.5,42.6,6.4,116.4,0.0,1.2,0.0,0.6,9.4,15.4,95.5
2024-01-01 15:00:00+02:00,56.2,40.5,6.3,122.6,0.0,1.2,0.0,0.6,1.7,15.2,111.8
2024-01-01 16:00:00+02:00,58.3,39.1,6.2,128.9,0.0,1.2,0.0,0.6,0.7,13.8,117.9
2024-01-01 17:00:00+02:00,59.4,39.6,6.2,141.3,0.0,1.2,0.0,0.6,0.6,11.6,143.8
2024-01-01 18:00:00+02:00,60.7,41.1,6.3,123.1,0.0,1.2,0.0,0.6,0.4,9.9,180.8
2024-01-01 19:00:00+02:00,62.2,38.4,6.3,153.9,0.0,1.2,0.0,0.6,0.3,9.3,175.2
2024-01-01 20:00:00+02:00,61.8,34.5,5.2,140.1,0.0,1.2,0.0,0.6,0.2,8.1,166.9
2024-01-01 21:00:00+02:00,62.0,32.2,5.9,131.2,0.0,1.2,0.0,0.6,0.2,6.1,157.1
2024-01-01 22:00:00+02:00,62.4,32.6,6.2,137.8,0.0,1.2,0.0,0.6,0.2,5.4,162.2
2024-01-01 23:00:00+02:00,61.9,33.6,4.1,141.7,0.0,1.2,0.0,0.6,0.2,5.4,171.0
2024-01-02 00:00:00+02:00,61.6,33.0,0.0,134.8,0.0,1.2,0.0,0.6,0.1,4.4,185.5
2024-01-02 01:00:00+02:00,61.8,32.8,0.0,150.1,0.0,1.2,0.0,0.6,0.2,4.4,183.0
2024-01-02 02:00:00+02:00,60.1,32.8,2.5,153.8,0.0,1.2,0.0,0.6,0.1,4.8,201.8
2024-01-02 03:00:00+02:00,60.5,33.8,5.9,182.2,0.0,1.2,0.0,0.6,0.2,4.2,189.0
2024-01-02 04:00:00+02:00,64.5,33.5,6.0,195.6,0.0,1.2,0.0,0.6,0.2,4.3,175.8
2024-01-02 05:00:00+02:00,68.9,34.0,5.9,288.5,0.0,1.2,0.0,0.6,0.2,3.9,179.4
2024-01-02 06:00:00+02:00,73.5,34.2,6.1,394.9,0.0,1.2,0.0,0.6,0.3,3.8,182.2
2024-01-02 07:00:00+02:00,78.9,34.5,6.2,463.5,0.0,1.1,0.0,0.6,0.4,4.3,196.4
2024-01-02 08:00:00+02:00,78.2,33.6,6.2,472.9,0.0,1.1,0.0,0.6,1.2,4.4,194.8
2024-01-02 09:00:00+02:00,79.9,32.6,7.8,473.4,0.0,1.1,0.0,0.6,4.3,3.8,200.1
2024-01-02 10:00:00+02:00,79.1,33.6,7.7,488.2,0.0,1.1,0.0,0.6,23.7,3.7,176.7
2024-01-02 11:00:00+02:00,77.8,33.0,7.8,517.5,0.0,1.1,0.0,0.6,46.2,3.8,159.3
2024-01-02 12:00:00+02:00,78.1,33.8,6.1,537.6,0.0,1.1,0.0,0.6,50.2,3.6,140.1
2024-01-02 13:00:00+02:00,76.8,34.7,6.0,522.1,0.0,1.1,0.0,0.6,33.4,2.8,133.3
2024-01-02 14:00:00+02:00,75.2,33.9,6.0,476.6,0.0,1.1,0.0,0.6,12.4,3.1,153.9
2024-01-02 15:00:00+02:00,75.6,32.4,6.0,503.1,0.0,1.1,0.0,0.6,2.2,5.1,196.9
2024-01-02 16:00:00+02:00,76.9,31.0,7.6,558.9,0.0,1.1,0.0,0.6,0.9,4.7,211.8
2024-01-02 17:00:00+02:00,78.3,20.9,7.7,520.7,0.0,0.8,0.0,0.6,0.5,3.5,212.9
2024-01-02 18:00:00+02:00,78.0,19.5,7.7,521.8,0.0,0.6,0.0,0.6,0.3,2.5,219.7
2024-01-02 19:00:00+02:00,78.4,19.0,7.7,530.6,0.0,0.3,0.0,0.6,0.3,3.0,212.1
2024-01-02 20:00:00+02:00,76.8,21.0,7.7,467.1,0.0,0.3,0.0,0.6,0.2,2.6,225.4
2024-01-02 21:00:00+02:00,75.3,19.4,6.2,412.7,0.0,0.3,0.0,0.6,0.2,2.1,229.2
2024-01-02 22:00:00+02:00,75.3,18.9,6.1,426.9,0.0,0.3,0.0,0.6,0.2,2.6,223.3
2024-01-02 23:00:00+02:00,74.5,18.5,6.1,398.5,0.0,0.5,0.0,0.6,0.2,3.7,228.2
2024-01-03 00:00:00+02:00,73.7,18.1,6.1,383.6,0.0,1.1,0.0,0.6,0.2,6.0,213.9
2024-01-03 01:00:00+02:00,69.1,19.8,5.2,322.5,0.0,1.1,0.0,0.6,0.2,7.5,212.9
2024-01-03 02:00:00+02:00,70.0,17.4,4.5,333.8,0.0,1.1,0.0,0.6,0.2,8.0,196.6
2024-01-03 03:00:00+02:00,71.6,21.4,6.0,362.0,0.0,1.1,0.0,0.6,0.3,9.7,190.9
2024-01-03 04:00:00+02:00,72.4,20.0,6.1,345.1,0.0,1.1,0.0,0.6,0.2,7.9,179.4
2024-01-03 05:00:00+02:00,73.6,18.5,6.2,397.8,0.0,1.1,0.0,0.6,0.4,7.0,170.6
2024-01-03 06:00:00+02:00,78.7,19.9,6.2,448.6,0.0,1.1,0.0,0.6,0.3,7.1,174.1
2024-01-03 07:00:00+02:00,80.1,19.8,6.2,451.6,0.0,1.1,0.0,0.6,0.3,7.1,179.8
2024-01-03 08:00:00+02:00,80.3,20.0,6.2,458.2,0.0,0.8,0.0,0.6,0.5,6.9,185.4
2024-01-03 09:00:00+02:00,79.6,16.9,6.2,456.0,0.0,0.4,0.0,0.6,4.6,7.0,175.3
2024-01-03 10:00:00+02:00,78.2,16.6,6.2,461.4,0.0,0.3,0.0,0.6,26.4,7.2,163.6
2024-01-03 11:00:00+02:00,77.5,14.4,6.2,452.9,0.0,0.3,0.0,0.6,51.3,7.5,154.4
2024-01-03 12:00:00+02:00,77.4,15.0,6.3,455.5,0.0,0.3,0.0,0.6,59.8,7.2,157.7
2024-01-03 13:00:00+02:00,76.7,16.9,6.3,454.0,0.0,0.3,0.0,0.6,48.5,7.2,164.5
2024-01-03 14:00:00+02:00,77.8,16.2,6.3,452.0,0.0,0.3,0.0,0.6,22.3,7.0,187.7
