,0
2025-01-01 01:00:00+02:00,4.85
2025-01-01 02:00:00+02:00,3.95
2025-01-01 03:00:00+02:00,3.8
2025-01-01 04:00:00+02:00,3.46
2025-01-01 05:00:00+02:00,3.44
2025-01-01 06:00:00+02:00,3.88
2025-01-01 07:00:00+02:00,20.88
2025-01-01 08:00:00+02:00,36.55
2025-01-01 09:00:00+02:00,41.79
2025-01-01 10:00:00+02:00,52.01
2025-01-01 11:00:00+02:00,75.0
2025-01-01 12:00:00+02:00,79.99
2025-01-01 13:00:00+02:00,77.02
2025-01-01 14:00:00+02:00,80.0
2025-01-01 15:00:00+02:00,85.17
2025-01-01 16:00:00+02:00,93.19
2025-01-01 17:00:00+02:00,101.72
2025-01-01 18:00:00+02:00,99.89
2025-01-01 19:00:00+02:00,101.71
2025-01-01 20:00:00+02:00,92.43
2025-01-01 21:00:00+02:00,89.99
2025-01-01 22:00:00+02:00,106.22
2025-01-01 23:00:00+02:00,106.22
2025-01-02 00:00:00+02:00,90.6
2025-01-02 01:00:00+02:00,51.32
2025-01-02 02:00:00+02:00,42.01
2025-01-02 03:00:00+02:00,40.74
2025-01-02 04:00:00+02:00,37.03
2025-01-02 05:00:00+02:00,42.9
2025-01-02 06:00:00+02:00,74.9
2025-01-02 07:00:00+02:00,82.76
2025-01-02 08:00:00+02:00,94.93
2025-01-02 09:00:00+02:00,118.62
2025-01-02 10:00:00+02:00,125.7
2025-01-02 11:00:00+02:00,123.32
2025-01-02 12:00:00+02:00,110.47
2025-01-02 13:00:00+02:00,101.39
2025-01-02 14:00:00+02:00,106.88
2025-01-02 15:00:00+02:00,113.55
2025-01-02 16:00:00+02:00,129.15
2025-01-02 17:00:00+02:00,135.28
2025-01-02 18:00:00+02:00,150.22
2025-01-02 19:00:00+02:00,148.43
2025-01-02 20:00:00+02:00,109.51
2025-01-02 21:00:00+02:00,104.67
2025-01-02 22:00:00+02:00,77.65
2025-01-02 23:00:00+02:00,66.87
2025-01-03 00:00:00+02:00,58.07
2025-01-03 01:00:00+02:00,43.43
2025-01-03 02:00:00+02:00,50.66
2025-01-03 03:00:00+02:00,37.42
2025-01-03 04:00:00+02:00,33.43
2025-01-03 05:00:00+02:00,39.92
2025-01-03 06:00:00+02:00,67.99
2025-01-03 07:00:00+02:00,83.01
2025-01-03 08:00:00+02:00,123.89
2025-01-03 09:00:00+02:00,125.82
2025-01-03 10:00:00+02:00,127.05
2025-01-03 11:00:00+02:00,100.0
2025-01-03 12:00:00+02:00,105.95
2025-01-03 13:00:00+02:00,89.18
2025-01-03 14:00:00+02:00,92.99
2025-01-03 15:00:00+02:00,94.02
2025-01-03 16:00:00+02:00,101.03
2025-01-03 17:00:00+02:00,123.89
2025-01-03 18:00:00+02:00,119.91
2025-01-03 19:00:00+02:00,119.9
2025-01-03 20:00:00+02:00,108.44
2025-01-03 21:00:00+02:00,88.19
2025-01-03 22:00:00+02:00,91.2
2025-01-03 23:00:00+02:00,91.19
2025-01-04 00:00:00+02:00,77.06
2025-01-04 01:00:00+02:00,51.81
2025-01-04 02:00:00+02:00,48.64
2025-01-04 03:00:00+02:00,48.45
2025-01-04 04:00:00+02:00,55.01
