,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore
2021-01-01 01:00:00+02:00,594.0,2024.0,0.0,0.0,41.0,0.0,1168.0
2021-01-01 02:00:00+02:00,599.0,1597.0,0.0,0.0,0.0,0.0,1087.0
2021-01-01 03:00:00+02:00,600.0,1551.0,0.0,0.0,25.0,0.0,1029.0
2021-01-01 04:00:00+02:00,603.0,1512.0,0.0,0.0,25.0,0.0,896.0
2021-01-01 05:00:00+02:00,603.0,1515.0,0.0,0.0,50.0,0.0,812.0
2021-01-01 06:00:00+02:00,600.0,1659.0,0.0,0.0,103.0,0.0,740.0
2021-01-01 07:00:00+02:00,620.0,1901.0,0.0,51.0,195.0,2.0,586.0
2021-01-01 08:00:00+02:00,677.0,1653.0,0.0,0.0,256.0,231.0,536.0
2021-01-01 09:00:00+02:00,797.0,1743.0,0.0,0.0,311.0,876.0,460.0
2021-01-01 10:00:00+02:00,844.0,1814.0,0.0,0.0,234.0,1426.0,394.0
2021-01-01 11:00:00+02:00,722.0,1923.0,0.0,0.0,197.0,1704.0,360.0
2021-01-01 12:00:00+02:00,615.0,2033.0,0.0,0.0,177.0,1772.0,328.0
2021-01-01 13:00:00+02:00,604.0,1997.0,0.0,0.0,256.0,1666.0,296.0
2021-01-01 14:00:00+02:00,601.0,1856.0,0.0,85.0,172.0,1401.0,256.0
2021-01-01 15:00:00+02:00,600.0,1916.0,0.0,89.0,249.0,903.0,189.0
2021-01-01 16:00:00+02:00,608.0,2137.0,0.0,89.0,290.0,259.0,167.0
2021-01-01 17:00:00+02:00,614.0,2597.0,0.0,170.0,458.0,4.0,118.0
2021-01-01 18:00:00+02:00,639.0,2972.0,0.0,210.0,603.0,0.0,105.0
2021-01-01 19:00:00+02:00,618.0,3373.0,0.0,137.0,538.0,0.0,105.0
2021-01-01 20:00:00+02:00,612.0,3435.0,0.0,95.0,362.0,0.0,91.0
2021-01-01 21:00:00+02:00,626.0,3306.0,0.0,30.0,259.0,0.0,100.0
2021-01-01 22:00:00+02:00,620.0,2995.0,0.0,30.0,169.0,0.0,100.0
2021-01-01 23:00:00+02:00,606.0,2921.0,0.0,30.0,226.0,0.0,105.0
2021-01-02 00:00:00+02:00,591.0,2507.0,0.0,0.0,48.0,0.0,112.0
2021-01-02 01:00:00+02:00,590.0,2305.0,0.0,0.0,45.0,0.0,123.0
2021-01-02 02:00:00+02:00,591.0,2217.0,0.0,0.0,100.0,0.0,121.0
2021-01-02 03:00:00+02:00,594.0,2339.0,0.0,0.0,100.0,0.0,124.0
2021-01-02 04:00:00+02:00,597.0,2270.0,0.0,0.0,100.0,0.0,158.0
2021-01-02 05:00:00+02:00,599.0,2269.0,0.0,0.0,100.0,0.0,191.0
2021-01-02 06:00:00+02:00,603.0,2246.0,0.0,0.0,136.0,0.0,241.0
2021-01-02 07:00:00+02:00,659.0,2112.0,0.0,0.0,157.0,1.0,309.0
2021-01-02 08:00:00+02:00,720.0,2220.0,0.0,0.0,192.0,190.0,360.0
2021-01-02 09:00:00+02:00,653.0,2438.0,0.0,0.0,214.0,673.0,357.0
2021-01-02 10:00:00+02:00,604.0,2643.0,0.0,0.0,153.0,1025.0,332.0
2021-01-02 11:00:00+02:00,603.0,2766.0,0.0,0.0,181.0,1205.0,311.0
2021-01-02 12:00:00+02:00,605.0,3049.0,0.0,0.0,95.0,1174.0,333.0
2021-01-02 13:00:00+02:00,604.0,3084.0,0.0,0.0,229.0,1028.0,369.0
2021-01-02 14:00:00+02:00,606.0,3154.0,0.0,81.0,187.0,737.0,420.0
2021-01-02 15:00:00+02:00,606.0,3334.0,0.0,84.0,242.0,367.0,470.0
2021-01-02 16:00:00+02:00,613.0,3231.0,0.0,85.0,305.0,74.0,539.0
2021-01-02 17:00:00+02:00,608.0,3209.0,0.0,168.0,411.0,0.0,653.0
2021-01-02 18:00:00+02:00,603.0,3125.0,0.0,203.0,457.0,0.0,804.0
2021-01-02 19:00:00+02:00,603.0,2996.0,0.0,131.0,469.0,0.0,994.0
2021-01-02 20:00:00+02:00,605.0,2840.0,0.0,84.0,300.0,0.0,1255.0
2021-01-02 21:00:00+02:00,605.0,2668.0,0.0,1.0,269.0,0.0,1563.0
2021-01-02 22:00:00+02:00,606.0,2248.0,0.0,0.0,247.0,0.0,1782.0
2021-01-02 23:00:00+02:00,605.0,2305.0,0.0,0.0,79.0,0.0,1785.0
2021-01-03 00:00:00+02:00,607.0,2097.0,0.0,0.0,8.0,0.0,1845.0
2021-01-03 01:00:00+02:00,606.0,1690.0,0.0,0.0,0.0,0.0,1949.0
2021-01-03 02:00:00+02:00,601.0,1088.0,0.0,0.0,0.0,0.0,2025.0
2021-01-03 03:00:00+02:00,601.0,1088.0,0.0,0.0,0.0,0.0,2137.0
2021-01-03 04:00:00+02:00,600.0,1070.0,0.0,0.0,0.0,0.0,2223.0
2021-01-03 05:00:00+02:00,598.0,1096.0,0.0,0.0,0.0,0.0,2132.0
2021-01-03 06:00:00+02:00,600.0,1127.0,0.0,0.0,26.0,0.0,2131.0
2021-01-03 07:00:00+02:00,601.0,1210.0,0.0,0.0,43.0,0.0,1951.0
2021-01-03 08:00:00+02:00,602.0,945.0,0.0,0.0,85.0,77.0,1890.0
2021-01-03 09:00:00+02:00,601.0,1236.0,0.0,0.0,208.0,388.0,1750.0
2021-01-03 10:00:00+02:00,601.0,1399.0,0.0,0.0,253.0,716.0,1614.0
2021-01-03 11:00:00+02:00,600.0,1548.0,0.0,0.0,320.0,981.0,1635.0
2021-01-03 12:00:00+02:00,603.0,1715.0,0.0,0.0,293.0,1150.0,1608.0
2021-01-03 13:00:00+02:00,603.0,1893.0,0.0,0.0,299.0,1047.0,1537.0
2021-01-03 14:00:00+02:00,606.0,1863.0,0.0,82.0,277.0,854.0,1417.0
2021-01-03 15:00:00+02:00,604.0,1812.0,0.0,94.0,546.0,489.0,1317.0
2021-01-03 16:00:00+02:00,606.0,1938.0,0.0,86.0,709.0,123.0,1207.0
2021-01-03 17:00:00+02:00,605.0,2172.0,0.0,219.0,736.0,1.0,1208.0
2021-01-03 18:00:00+02:00,606.0,2213.0,0.0,247.0,948.0,0.0,1242.0
2021-01-03 19:00:00+02:00,608.0,2242.0,0.0,181.0,833.0,0.0,1332.0
2021-01-03 20:00:00+02:00,606.0,2256.0,0.0,123.0,807.0,0.0,1347.0
2021-01-03 21:00:00+02:00,605.0,2372.0,0.0,32.0,759.0,0.0,1353.0
2021-01-03 22:00:00+02:00,605.0,2103.0,0.0,0.0,689.0,0.0,1473.0
2021-01-03 23:00:00+02:00,605.0,2057.0,0.0,0.0,416.0,0.0,1530.0
2021-01-04 00:00:00+02:00,604.0,1644.0,0.0,0.0,387.0,0.0,1612.0
2021-01-04 01:00:00+02:00,629.0,1515.0,0.0,0.0,123.0,0.0,1624.0
2021-01-04 02:00:00+02:00,637.0,1312.0,0.0,0.0,227.0,0.0,1692.0
2021-01-04 03:00:00+02:00,675.0,1176.0,0.0,0.0,252.0,0.0,1736.0
2021-01-04 04:00:00+02:00,671.0,1248.0,0.0,0.0,228.0,0.0,1863.0
2021-01-04 05:00:00+02:00,644.0,1257.0,0.0,0.0,178.0,0.0,1981.0
2021-01-04 06:00:00+02:00,646.0,1294.0,0.0,0.0,212.0,0.0,1998.0
2021-01-04 07:00:00+02:00,611.0,1538.0,0.0,0.0,364.0,0.0,2008.0
2021-01-04 08:00:00+02:00,592.0,1794.0,0.0,0.0,620.0,38.0,2002.0
2021-01-04 09:00:00+02:00,614.0,2283.0,0.0,0.0,693.0,152.0,1823.0
2021-01-04 10:00:00+02:00,756.0,2491.0,0.0,0.0,787.0,239.0,1895.0
2021-01-04 11:00:00+02:00,803.0,2468.0,0.0,0.0,650.0,278.0,1957.0
2021-01-04 12:00:00+02:00,729.0,2728.0,0.0,47.0,710.0,244.0,1920.0
2021-01-04 13:00:00+02:00,748.0,2826.0,0.0,99.0,891.0,172.0,1855.0
2021-01-04 14:00:00+02:00,816.0,2943.0,0.0,103.0,830.0,152.0,1700.0
2021-01-04 15:00:00+02:00,788.0,2882.0,0.0,86.0,718.0,187.0,1776.0
