,Biomass,Energy storage,Fossil Gas,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2024-01-01 01:00:00+02:00,33.11,,42.94,0.0,0.0,24.74,20.56,0.0,67.64,219.34
2024-01-01 02:00:00+02:00,33.09,,42.94,0.0,0.0,24.71,20.56,0.0,67.7,251.64
2024-01-01 03:00:00+02:00,33.03,,42.94,0.0,0.0,25.82,11.97,0.0,67.51,281.24
2024-01-01 04:00:00+02:00,32.97,,42.91,0.0,0.0,24.77,12.14,0.0,67.87,342.95
2024-01-01 05:00:00+02:00,33.0,,42.98,0.0,219.47,57.34,12.03,0.0,67.99,358.73
2024-01-01 06:00:00+02:00,33.27,,43.12,0.0,220.6,24.75,12.07,0.0,68.02,394.2
2024-01-01 07:00:00+02:00,33.78,,43.13,0.0,218.5,24.81,12.22,0.0,67.85,421.72
2024-01-01 08:00:00+02:00,33.86,,42.65,0.0,0.0,24.81,12.2,0.49,68.96,447.26
2024-01-01 09:00:00+02:00,33.86,,42.48,0.0,0.0,24.85,12.01,62.5,67.88,453.97
2024-01-01 10:00:00+02:00,33.86,,42.76,0.0,0.0,88.41,12.2,56.09,67.03,472.2
2024-01-01 11:00:00+02:00,33.86,,42.56,0.0,0.0,88.22,12.64,72.41,66.97,472.5
2024-01-01 12:00:00+02:00,33.89,,42.58,0.0,0.0,90.04,12.64,60.71,67.52,455.89
2024-01-01 13:00:00+02:00,33.86,,42.4,0.0,0.0,93.02,12.67,46.95,67.54,479.51
2024-01-01 14:00:00+02:00,33.93,,42.41,0.0,0.0,90.12,13.08,50.02,67.03,518.41
2024-01-01 15:00:00+02:00,33.84,,42.38,0.0,0.0,88.33,12.7,29.85,66.46,562.54
2024-01-01 16:00:00+02:00,33.94,,42.31,0.0,0.0,88.29,13.36,0.32,66.33,605.08
2024-01-01 17:00:00+02:00,33.95,,42.22,0.0,0.0,88.28,13.86,0.0,66.64,672.06
2024-01-01 18:00:00+02:00,33.99,,42.2,0.0,0.0,75.33,23.4,0.0,66.37,686.51
2024-01-01 19:00:00+02:00,33.92,,41.96,0.0,0.0,88.2,23.39,0.0,66.43,673.85
2024-01-01 20:00:00+02:00,33.88,,42.01,0.0,0.0,94.14,22.88,0.0,66.52,631.81
2024-01-01 21:00:00+02:00,33.93,,41.92,0.0,0.0,45.19,23.17,0.0,66.82,624.34
2024-01-01 22:00:00+02:00,34.02,,42.34,0.0,0.0,41.85,13.01,0.0,66.8,604.39
2024-01-01 23:00:00+02:00,34.03,,42.32,0.0,0.0,38.61,13.3,0.0,66.68,542.56
2024-01-02 00:00:00+02:00,33.95,,41.95,0.0,0.0,25.81,13.52,0.0,66.37,497.34
2024-01-02 01:00:00+02:00,34.0,,42.12,0.0,0.0,24.89,13.24,0.0,66.22,488.92
2024-01-02 02:00:00+02:00,34.0,,42.19,0.0,0.0,24.88,13.15,0.0,65.96,452.48
2024-01-02 03:00:00+02:00,33.92,,42.07,0.0,0.0,24.84,12.57,0.0,66.35,406.97
2024-01-02 04:00:00+02:00,34.02,,41.99,0.0,0.0,24.82,12.84,0.0,66.39,419.48
2024-01-02 05:00:00+02:00,33.96,,48.17,0.0,0.0,25.7,12.84,0.0,66.27,395.04
2024-01-02 06:00:00+02:00,33.98,,75.65,1.05,0.0,46.81,23.3,0.0,65.99,362.35
2024-01-02 07:00:00+02:00,33.99,,96.05,187.69,0.0,96.41,20.59,0.0,65.55,356.48
2024-01-02 08:00:00+02:00,33.99,,206.46,196.26,0.0,96.01,20.59,0.98,65.61,332.62
2024-01-02 09:00:00+02:00,33.9,,367.29,196.35,0.0,97.94,36.64,19.78,64.56,301.36
2024-01-02 10:00:00+02:00,34.01,,479.38,191.63,0.0,97.94,28.66,42.11,63.85,346.56
2024-01-02 11:00:00+02:00,33.92,,456.2,185.55,0.0,97.96,23.14,75.56,62.07,341.93
2024-01-02 12:00:00+02:00,33.93,,477.61,186.75,0.0,93.18,19.86,59.26,61.66,331.87
2024-01-02 13:00:00+02:00,33.93,,478.52,191.58,0.0,97.91,28.04,50.31,56.49,360.62
2024-01-02 14:00:00+02:00,33.79,,477.35,185.5,0.0,94.22,25.24,40.28,60.2,337.53
2024-01-02 15:00:00+02:00,33.82,,479.75,205.71,0.0,94.88,31.65,13.13,61.37,378.85
2024-01-02 16:00:00+02:00,33.97,,480.6,201.23,0.0,98.05,25.54,0.3,61.74,447.77
2024-01-02 17:00:00+02:00,33.95,,480.09,201.21,0.0,98.01,15.35,0.01,62.24,465.19
2024-01-02 18:00:00+02:00,33.96,,463.69,172.85,0.0,98.06,15.62,0.0,62.55,507.18
2024-01-02 19:00:00+02:00,33.91,,480.52,181.21,0.0,98.06,17.18,0.0,62.89,534.66
2024-01-02 20:00:00+02:00,33.74,,349.62,173.89,0.0,98.04,16.21,0.0,63.2,555.56
2024-01-02 21:00:00+02:00,33.77,,46.11,181.84,0.0,59.57,18.0,0.0,63.48,583.41
2024-01-02 22:00:00+02:00,33.75,,43.3,115.66,0.0,88.33,20.85,0.0,63.48,628.78
2024-01-02 23:00:00+02:00,33.95,,42.84,0.35,0.0,59.13,14.96,0.0,63.96,638.78
2024-01-03 00:00:00+02:00,33.71,,42.46,0.0,216.88,59.93,20.72,0.0,64.22,677.71
2024-01-03 01:00:00+02:00,33.84,,42.92,0.0,285.3,25.78,14.51,0.0,64.55,687.45
