,Biomass,Energy storage,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore
2021-01-01 01:00:00+02:00,70.0,,66.0,0.0,69.0,,5.0
2021-01-01 02:00:00+02:00,66.0,,56.0,0.0,69.0,,3.0
2021-01-01 03:00:00+02:00,64.0,,56.0,0.0,68.0,,1.0
2021-01-01 04:00:00+02:00,64.0,,56.0,0.0,68.0,,1.0
2021-01-01 05:00:00+02:00,66.0,,56.0,0.0,68.0,,1.0
2021-01-01 06:00:00+02:00,69.0,,56.0,0.0,68.0,,0.0
2021-01-01 07:00:00+02:00,73.0,,56.0,7.0,68.0,,0.0
2021-01-01 08:00:00+02:00,75.0,,56.0,49.0,67.0,,0.0
2021-01-01 09:00:00+02:00,75.0,,56.0,54.0,67.0,,0.0
2021-01-01 10:00:00+02:00,75.0,,56.0,58.0,67.0,,0.0
2021-01-01 11:00:00+02:00,75.0,,56.0,81.0,67.0,,0.0
2021-01-01 12:00:00+02:00,74.0,,56.0,71.0,67.0,,0.0
2021-01-01 13:00:00+02:00,75.0,,56.0,107.0,67.0,,0.0
2021-01-01 14:00:00+02:00,75.0,,56.0,97.0,67.0,,0.0
2021-01-01 15:00:00+02:00,75.0,,56.0,121.0,68.0,,0.0
2021-01-01 16:00:00+02:00,75.0,,62.0,113.0,68.0,,0.0
2021-01-01 17:00:00+02:00,76.0,,62.0,230.0,68.0,,0.0
2021-01-01 18:00:00+02:00,76.0,,62.0,375.0,68.0,,0.0
2021-01-01 19:00:00+02:00,76.0,,62.0,383.0,68.0,,0.0
2021-01-01 20:00:00+02:00,76.0,,62.0,436.0,68.0,,0.0
2021-01-01 21:00:00+02:00,76.0,,61.0,439.0,69.0,,0.0
2021-01-01 22:00:00+02:00,76.0,,56.0,384.0,69.0,,0.0
2021-01-01 23:00:00+02:00,74.0,,56.0,235.0,70.0,,0.0
2021-01-02 00:00:00+02:00,70.0,,55.0,95.0,70.0,,0.0
2021-01-02 01:00:00+02:00,66.0,,56.0,2.0,69.0,,0.0
2021-01-02 02:00:00+02:00,66.0,,55.0,0.0,69.0,,0.0
2021-01-02 03:00:00+02:00,64.0,,55.0,0.0,69.0,,0.0
2021-01-02 04:00:00+02:00,65.0,,55.0,0.0,68.0,,0.0
2021-01-02 05:00:00+02:00,68.0,,55.0,0.0,68.0,,0.0
2021-01-02 06:00:00+02:00,70.0,,56.0,0.0,68.0,,0.0
2021-01-02 07:00:00+02:00,72.0,,55.0,8.0,68.0,,0.0
2021-01-02 08:00:00+02:00,74.0,,55.0,150.0,68.0,,0.0
2021-01-02 09:00:00+02:00,75.0,,56.0,153.0,68.0,,0.0
2021-01-02 10:00:00+02:00,75.0,,62.0,178.0,68.0,,0.0
2021-01-02 11:00:00+02:00,75.0,,62.0,283.0,68.0,,0.0
2021-01-02 12:00:00+02:00,75.0,,62.0,402.0,67.0,,0.0
2021-01-02 13:00:00+02:00,75.0,,62.0,457.0,68.0,,0.0
2021-01-02 14:00:00+02:00,75.0,,62.0,560.0,68.0,,0.0
2021-01-02 15:00:00+02:00,76.0,,62.0,569.0,68.0,,0.0
2021-01-02 16:00:00+02:00,76.0,,62.0,674.0,68.0,,0.0
2021-01-02 17:00:00+02:00,76.0,,62.0,705.0,68.0,,0.0
2021-01-02 18:00:00+02:00,76.0,,62.0,708.0,69.0,,0.0
2021-01-02 19:00:00+02:00,76.0,,57.0,708.0,69.0,,0.0
2021-01-02 20:00:00+02:00,76.0,,19.0,716.0,68.0,,0.0
2021-01-02 21:00:00+02:00,76.0,,7.0,720.0,69.0,,0.0
2021-01-02 22:00:00+02:00,73.0,,1.0,579.0,69.0,,0.0
2021-01-02 23:00:00+02:00,71.0,,1.0,325.0,69.0,,0.0
2021-01-03 00:00:00+02:00,68.0,,1.0,140.0,69.0,,0.0
2021-01-03 01:00:00+02:00,65.0,,1.0,10.0,69.0,,0.0
2021-01-03 02:00:00+02:00,64.0,,1.0,0.0,69.0,,0.0
2021-01-03 03:00:00+02:00,64.0,,1.0,0.0,69.0,,0.0
2021-01-03 04:00:00+02:00,64.0,,1.0,0.0,68.0,,0.0
2021-01-03 05:00:00+02:00,67.0,,1.0,0.0,68.0,,0.0
2021-01-03 06:00:00+02:00,70.0,,1.0,0.0,68.0,,0.0
2021-01-03 07:00:00+02:00,73.0,,1.0,0.0,68.0,,0.0
