,"('Fossil Gas', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Water Reservoir', 'Actual Aggregated')","('Waste', 'Actual Aggregated')","('Wind Offshore', 'Actual Aggregated')","('Wind Offshore', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')",Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore
2024-01-01 00:00:00+01:00,,,,,,,,,,14.0,0.61,372.07,1924.85,4.01,1152.93
2024-01-01 01:00:00+01:00,,,,,,,,,,14.0,0.61,371.16,1567.06,4.01,1202.27
2024-01-01 02:00:00+01:00,,,,,,,,,,14.0,0.61,361.88,1265.86,4.09,1202.22
2024-01-01 03:00:00+01:00,,,,,,,,,,14.0,0.61,355.83,1026.27,4.15,1155.26
2024-01-01 04:00:00+01:00,,,,,,,,,,14.0,0.61,351.16,984.19,4.15,1079.34
2024-01-01 05:00:00+01:00,,,,,,,,,,14.0,0.61,346.74,1068.66,4.13,1163.42
2024-01-01 06:00:00+01:00,,,,,,,,,,14.0,0.61,342.07,1173.51,4.21,1145.48
2024-01-01 07:00:00+01:00,,,,,,,,,,14.0,0.61,351.45,1217.8,4.3,1071.31
2024-01-01 08:00:00+01:00,,,,,,,,,,13.99,0.61,361.06,1196.06,4.19,1081.38
2024-01-01 09:00:00+01:00,,,,,,,,,,14.0,0.61,406.81,1264.4,4.27,1087.49
2024-01-01 10:00:00+01:00,,,,,,,,,,14.0,0.61,455.71,1562.89,4.28,1271.43
2024-01-01 11:00:00+01:00,,,,,,,,,,14.0,0.61,498.87,1952.96,4.27,1298.95
2024-01-01 12:00:00+01:00,,,,,,,,,,14.0,0.61,483.0,2563.79,4.33,1303.79
2024-01-01 13:00:00+01:00,,,,,,,,,,14.0,0.61,491.14,2762.36,4.34,1305.74
2024-01-01 14:00:00+01:00,,,,,,,,,,14.0,0.61,503.84,3223.55,4.35,1298.58
2024-01-01 15:00:00+01:00,,,,,,,,,,14.0,0.82,512.29,3516.69,4.33,1305.4
2024-01-01 16:00:00+01:00,,,,,,,,,,14.0,97.12,515.45,4303.06,4.37,1296.89
2024-01-01 17:00:00+01:00,,,,,,,,,,14.0,157.73,517.14,4997.38,4.38,1294.22
2024-01-01 18:00:00+01:00,,,,,,,,,,14.0,51.98,517.27,4593.23,4.39,1281.09
2024-01-01 19:00:00+01:00,,,,,,,,,,14.0,0.61,526.02,4214.27,4.41,1286.75
2024-01-01 20:00:00+01:00,,,,,,,,,,14.0,0.61,519.7,3162.17,4.41,1275.55
2024-01-01 21:00:00+01:00,,,,,,,,,,14.0,0.61,514.86,2601.34,4.36,1268.95
2024-01-01 22:00:00+01:00,,,,,,,,,,14.0,0.61,501.55,2226.88,4.26,1257.69
2024-01-01 23:00:00+01:00,,,,,,,,,,14.0,0.61,497.06,1925.09,4.29,1257.26
2024-01-02 00:00:00+01:00,,,,,,,,,,14.0,0.61,497.68,1637.58,4.26,1236.43
2024-01-02 01:00:00+01:00,,,,,,,,,,14.0,0.61,498.65,1341.68,4.26,1215.27
2024-01-02 02:00:00+01:00,,,,,,,,,,14.0,0.61,499.83,1255.18,4.27,1145.48
2024-01-02 03:00:00+01:00,,,,,,,,,,14.0,0.61,496.63,1326.17,4.27,1023.76
2024-01-02 04:00:00+01:00,,,,,,,,,,14.0,0.61,498.4,1216.25,4.25,994.86
2024-01-02 05:00:00+01:00,,,,,,,,,,14.0,0.61,492.21,1485.01,4.22,951.4
2024-01-02 06:00:00+01:00,,,,,,,,,,14.0,0.61,481.11,2068.53,4.33,1006.5
2024-01-02 07:00:00+01:00,,,,,,,,,,14.0,0.61,507.97,3236.67,4.38,1004.46
2024-01-02 08:00:00+01:00,,,,,,,,,,14.0,137.68,525.18,4726.63,4.34,980.69
2024-01-02 09:00:00+01:00,,,,,,,,,,14.0,303.13,536.21,5629.15,4.27,972.73
2024-01-02 10:00:00+01:00,,,,,,,,,,14.0,324.77,568.09,6481.24,4.33,951.33
2024-01-02 11:00:00+01:00,,,,,,,,,,14.0,442.63,576.29,6441.76,4.39,950.67
2024-01-02 12:00:00+01:00,,,,,,,,,,14.0,471.35,585.7,6625.97,4.4,927.04
2024-01-02 13:00:00+01:00,,,,,,,,,,14.0,470.89,595.21,6758.38,4.39,899.34
