,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore
2024-01-01 00:00:00+01:00,0.1,907.17,6292.0,501.61,0.01,2380.6
2024-01-01 01:00:00+01:00,0.1,904.31,6292.0,529.32,0.01,2356.97
2024-01-01 02:00:00+01:00,0.1,905.04,6293.0,529.59,0.01,2414.44
2024-01-01 03:00:00+01:00,0.1,903.8,6293.0,537.48,0.01,2458.57
2024-01-01 04:00:00+01:00,0.1,902.74,6295.0,536.5,0.01,2461.12
2024-01-01 05:00:00+01:00,0.1,905.8,6295.0,550.89,0.02,2473.5
2024-01-01 06:00:00+01:00,0.0,913.26,6295.0,597.13,0.03,2488.43
2024-01-01 07:00:00+01:00,0.0,937.2,6295.0,607.97,0.03,2479.94
2024-01-01 08:00:00+01:00,0.0,954.54,6294.0,633.89,0.07,2482.66
2024-01-01 09:00:00+01:00,0.0,985.88,6293.0,661.54,0.27,2490.97
2024-01-01 10:00:00+01:00,0.1,1037.96,6295.0,677.08,1.57,2488.11
2024-01-01 11:00:00+01:00,0.0,1094.17,6295.0,682.32,2.5,2445.74
2024-01-01 12:00:00+01:00,0.1,1131.95,6294.0,693.46,2.82,2383.83
2024-01-01 13:00:00+01:00,0.0,1145.27,6294.0,690.38,1.77,2380.11
2024-01-01 14:00:00+01:00,0.0,1162.48,6294.0,697.22,0.46,2368.94
2024-01-01 15:00:00+01:00,0.0,1168.47,6294.0,712.61,0.05,2383.48
2024-01-01 16:00:00+01:00,0.0,1168.44,6294.0,713.17,0.02,2395.19
2024-01-01 17:00:00+01:00,0.0,1172.84,6294.0,718.79,0.02,2420.06
2024-01-01 18:00:00+01:00,0.0,1168.9,6294.0,712.58,0.02,2403.59
2024-01-01 19:00:00+01:00,0.1,1165.34,6294.0,720.7,0.01,2379.44
2024-01-01 20:00:00+01:00,0.1,1104.59,6294.0,703.14,0.02,2361.78
2024-01-01 21:00:00+01:00,0.1,1079.38,6294.0,674.76,0.03,2336.17
2024-01-01 22:00:00+01:00,0.1,1067.25,6294.0,648.99,0.02,2324.44
2024-01-01 23:00:00+01:00,0.1,1035.8,6294.0,635.31,0.03,2315.18
2024-01-02 00:00:00+01:00,0.1,1013.31,6291.0,634.47,0.0,2367.7
2024-01-02 01:00:00+01:00,0.1,994.36,6291.0,639.49,0.0,2360.76
2024-01-02 02:00:00+01:00,0.1,990.76,6291.0,642.92,0.0,2348.69
2024-01-02 03:00:00+01:00,0.1,985.72,6290.0,638.25,0.0,2345.64
2024-01-02 04:00:00+01:00,0.1,987.4,6290.0,641.47,0.0,2314.25
2024-01-02 05:00:00+01:00,0.1,1004.26,6289.0,654.74,0.0,2311.87
2024-01-02 06:00:00+01:00,0.0,1050.62,6290.0,666.85,0.0,2304.47
2024-01-02 07:00:00+01:00,0.0,1223.32,6290.0,699.72,0.1,2297.37
2024-01-02 08:00:00+01:00,0.0,1321.48,6292.0,704.63,0.13,2295.64
2024-01-02 09:00:00+01:00,0.0,1353.99,6294.0,680.24,0.89,2282.81
2024-01-02 10:00:00+01:00,0.1,1389.78,6292.0,683.78,4.13,2257.19
2024-01-02 11:00:00+01:00,0.1,1435.24,6292.0,681.84,5.87,2238.45
2024-01-02 12:00:00+01:00,0.1,1466.72,6291.0,678.41,6.25,2208.61
2024-01-02 13:00:00+01:00,0.0,1493.76,6292.0,673.93,3.76,2238.3
2024-01-02 14:00:00+01:00,0.0,1493.08,6292.0,689.1,1.2,2305.75
2024-01-02 15:00:00+01:00,0.0,1507.83,6292.0,697.54,0.17,2382.26
2024-01-02 16:00:00+01:00,0.0,1538.84,6292.0,665.06,0.0,2455.71
2024-01-02 17:00:00+01:00,0.0,1532.2,6289.0,623.25,0.0,2465.62
2024-01-02 18:00:00+01:00,0.0,1426.83,6291.0,600.58,0.0,2524.07
2024-01-02 19:00:00+01:00,0.1,1376.57,6291.0,607.33,0.0,2574.88
2024-01-02 20:00:00+01:00,0.1,1296.71,6290.0,603.69,0.0,2613.14
2024-01-02 21:00:00+01:00,0.1,1119.13,6290.0,584.81,0.0,2630.44
2024-01-02 22:00:00+01:00,0.1,1076.77,6290.0,550.52,0.0,2656.76
2024-01-02 23:00:00+01:00,0.1,1068.49,6292.0,507.12,0.0,2670.61
2024-01-03 00:00:00+01:00,0.1,1057.36,6292.0,448.23,0.0,2676.27
2024-01-03 01:00:00+01:00,0.1,1045.0,6292.0,437.68,0.0,2671.15
2024-01-03 02:00:00+01:00,0.1,1036.68,6294.0,439.07,0.0,2686.48
2024-01-03 03:00:00+01:00,0.1,1032.93,6293.0,445.95,0.0,2710.49
2024-01-03 04:00:00+01:00,0.1,1035.05,6292.0,456.39,0.0,2680.61
2024-01-03 05:00:00+01:00,0.1,1042.64,6294.0,468.01,0.0,2679.67
2024-01-03 06:00:00+01:00,0.0,1041.08,6292.0,502.42,0.0,2695.49
2024-01-03 07:00:00+01:00,0.0,1226.95,6294.0,541.55,0.0,2708.79
2024-01-03 08:00:00+01:00,10.0,1374.29,6292.0,588.82,0.02,2669.58
2024-01-03 09:00:00+01:00,10.0,1392.98,6294.0,574.52,0.32,2668.25
2024-01-03 10:00:00+01:00,0.0,1390.97,6293.0,569.75,1.97,2674.73
2024-01-03 11:00:00+01:00,0.1,1364.79,6292.0,562.05,4.08,2634.44
2024-01-03 12:00:00+01:00,0.0,1329.73,6293.0,548.62,3.84,2675.69
2024-01-03 13:00:00+01:00,0.0,1333.01,6294.0,553.8,2.08,2662.37
2024-01-03 14:00:00+01:00,0.0,1424.03,6294.0,556.17,0.63,2660.23
2024-01-03 15:00:00+01:00,0.0,1424.53,6294.0,560.61,0.06,2663.66
2024-01-03 16:00:00+01:00,0.0,1497.75,6295.0,561.46,0.0,2719.53
2024-01-03 17:00:00+01:00,0.0,1569.34,6296.0,564.96,0.0,2688.21
2024-01-03 18:00:00+01:00,0.0,1573.52,6294.0,532.46,0.0,2687.44
2024-01-03 19:00:00+01:00,0.1,1573.57,6293.0,530.49,0.0,2679.78
2024-01-03 20:00:00+01:00,0.1,1524.26,6293.0,519.85,0.0,2651.45
2024-01-03 21:00:00+01:00,0.1,1450.53,6293.0,503.45,0.0,2634.32
2024-01-03 22:00:00+01:00,0.1,1281.13,6293.0,491.36,0.0,2581.57
2024-01-03 23:00:00+01:00,0.1,1224.46,6293.0,485.66,0.0,2559.01
2024-01-04 00:00:00+01:00,0.1,1172.27,6291.0,531.74,0.0,2571.95
2024-01-04 01:00:00+01:00,0.1,1142.84,6292.0,525.56,0.0,2526.85
2024-01-04 02:00:00+01:00,0.1,1125.27,6210.0,529.59,0.0,2481.97
2024-01-04 03:00:00+01:00,0.1,1119.81,6029.0,529.31,0.0,2457.41
2024-01-04 04:00:00+01:00,0.1,1134.69,5844.0,530.05,0.0,2418.06
2024-01-04 05:00:00+01:00,0.1,1161.64,5757.0,555.75,0.0,2384.76
2024-01-04 06:00:00+01:00,0.1,1215.0,5756.0,588.76,0.0,2341.67
2024-01-04 07:00:00+01:00,0.0,1348.58,5756.0,592.2,0.0,2281.48
2024-01-04 08:00:00+01:00,0.0,1429.27,5757.0,627.4,0.02,2210.55
2024-01-04 09:00:00+01:00,0.0,1467.74,5755.0,623.01,0.41,2139.55
2024-01-04 10:00:00+01:00,32.9,1477.95,5754.0,612.33,3.33,2044.46
2024-01-04 11:00:00+01:00,0.1,1457.83,5759.0,637.97,7.91,1941.04
2024-01-04 12:00:00+01:00,0.1,1697.0,5758.0,655.29,8.75,1858.65
2024-01-04 13:00:00+01:00,0.1,1723.55,5759.0,634.96,5.47,1736.34
2024-01-04 14:00:00+01:00,0.1,1767.52,5760.0,626.13,1.96,1668.38
2024-01-04 15:00:00+01:00,0.0,1804.79,5760.0,667.14,0.22,1616.8
2024-01-04 16:00:00+01:00,0.0,1812.45,5760.0,876.54,0.0,1538.56
2024-01-04 17:00:00+01:00,0.1,1822.87,5759.0,888.4,0.0,1447.02
2024-01-04 18:00:00+01:00,0.1,1825.52,5767.0,887.59,0.0,1319.69
2024-01-04 19:00:00+01:00,0.1,1807.88,5879.0,862.32,0.0,1234.19
2024-01-04 20:00:00+01:00,0.1,1793.2,6049.0,836.04,0.0,1123.32
2024-01-04 21:00:00+01:00,0.1,1588.59,6132.0,783.65,0.0,1042.43
2024-01-04 22:00:00+01:00,0.1,1534.14,6187.0,743.65,0.0,958.68
2024-01-04 23:00:00+01:00,0.1,1469.87,6278.0,732.89,0.0,896.18
2024-01-05 00:00:00+01:00,0.1,1266.08,6286.0,668.45,0.0,877.01
2024-01-05 01:00:00+01:00,0.1,1242.88,6294.0,657.83,0.0,872.15
2024-01-05 02:00:00+01:00,0.1,1088.47,6295.0,647.57,0.0,889.27
2024-01-05 03:00:00+01:00,0.1,1211.66,6298.0,644.37,0.0,887.07
2024-01-05 04:00:00+01:00,0.1,1200.82,6297.0,642.24,0.0,892.34
2024-01-05 05:00:00+01:00,0.1,1205.75,6298.0,653.63,0.0,892.09
2024-01-05 06:00:00+01:00,0.1,1372.27,6296.0,687.78,0.0,874.18
2024-01-05 07:00:00+01:00,0.0,1529.9,6293.0,744.15,0.0,836.32
2024-01-05 08:00:00+01:00,0.0,1711.32,6295.0,838.92,0.09,790.41
2024-01-05 09:00:00+01:00,0.6,1725.77,6295.0,885.36,2.04,727.67
2024-01-05 10:00:00+01:00,0.1,1728.25,6294.0,903.94,9.27,631.92
2024-01-05 11:00:00+01:00,0.1,1689.6,6294.0,842.36,17.36,558.04
2024-01-05 12:00:00+01:00,0.1,1730.31,6296.0,855.22,18.17,517.55
2024-01-05 13:00:00+01:00,0.1,1731.32,6296.0,890.35,11.53,469.56
2024-01-05 14:00:00+01:00,0.1,1735.77,6296.0,869.51,4.06,423.14
2024-01-05 15:00:00+01:00,0.5,1769.72,6297.0,869.91,0.52,442.25
2024-01-05 16:00:00+01:00,0.8,1794.8,6296.0,972.2,0.0,485.82
2024-01-05 17:00:00+01:00,0.2,1795.9,6292.0,993.1,0.0,487.47
2024-01-05 18:00:00+01:00,0.1,1797.03,6296.0,965.1,0.0,474.62
2024-01-05 19:00:00+01:00,0.1,1782.13,6297.0,895.91,0.0,450.87
2024-01-05 20:00:00+01:00,0.1,1770.38,6296.0,841.96,0.0,404.84
2024-01-05 21:00:00+01:00,0.1,1473.29,6295.0,768.61,0.0,372.49
2024-01-05 22:00:00+01:00,0.1,1433.14,6299.0,706.42,0.0,345.31
2024-01-05 23:00:00+01:00,0.1,1382.0,6297.0,701.02,0.0,348.08
2024-01-06 00:00:00+01:00,0.1,1294.63,6299.0,527.48,0.05,340.84
2024-01-06 01:00:00+01:00,0.1,1297.39,6299.0,556.12,0.05,336.02
2024-01-06 02:00:00+01:00,0.1,1294.11,6299.0,555.57,0.05,322.24
2024-01-06 03:00:00+01:00,0.1,1290.18,6301.0,538.48,0.05,326.13
2024-01-06 04:00:00+01:00,0.1,1306.87,6299.0,543.22,0.06,315.89
2024-01-06 05:00:00+01:00,0.1,1309.68,6299.0,543.84,0.06,329.14
2024-01-06 06:00:00+01:00,0.1,1396.45,6301.0,563.27,0.06,317.65
2024-01-06 07:00:00+01:00,0.0,1424.15,6301.0,597.18,0.06,329.16
2024-01-06 08:00:00+01:00,0.0,1622.41,6301.0,637.57,0.25,299.59
2024-01-06 09:00:00+01:00,0.5,1705.93,6301.0,679.28,2.59,281.72
2024-01-06 10:00:00+01:00,0.1,1752.55,6301.0,689.35,11.28,268.89
2024-01-06 11:00:00+01:00,0.1,1773.55,6301.0,784.22,20.77,244.57
2024-01-06 12:00:00+01:00,0.1,1765.07,6301.0,785.74,22.32,195.28
2024-01-06 13:00:00+01:00,0.1,1765.44,6301.0,790.95,15.71,172.09
2024-01-06 14:00:00+01:00,0.1,1767.03,6301.0,784.68,6.55,159.71
2024-01-06 15:00:00+01:00,0.4,1764.27,6301.0,804.61,1.0,176.49
2024-01-06 16:00:00+01:00,0.7,1765.94,6291.0,814.25,0.06,203.2
2024-01-06 17:00:00+01:00,0.2,1772.41,6266.0,896.8,0.06,238.47
2024-01-06 18:00:00+01:00,15.1,1769.88,6253.0,894.67,0.06,261.14
2024-01-06 19:00:00+01:00,0.1,1771.93,6281.0,888.38,0.06,272.77
2024-01-06 20:00:00+01:00,0.1,1709.63,6301.0,885.52,0.06,264.58
2024-01-06 21:00:00+01:00,0.1,1461.97,6302.0,841.77,0.06,267.17
2024-01-06 22:00:00+01:00,0.1,1433.91,6304.0,756.21,0.06,285.7
2024-01-06 23:00:00+01:00,0.1,1340.3,6306.0,735.87,0.05,307.37
2024-01-07 00:00:00+01:00,0.1,1379.72,6304.0,716.57,0.06,336.11
2024-01-07 01:00:00+01:00,0.1,1363.98,6303.0,726.33,0.06,362.28
2024-01-07 02:00:00+01:00,0.1,1311.91,6305.0,729.11,0.06,364.26
2024-01-07 03:00:00+01:00,0.1,1308.46,6305.0,729.02,0.06,374.41
2024-01-07 04:00:00+01:00,0.1,1307.87,6304.0,725.76,0.06,387.13
2024-01-07 05:00:00+01:00,0.1,1325.61,6303.0,715.97,0.06,397.71
2024-01-07 06:00:00+01:00,0.1,1337.73,6306.0,743.31,0.06,405.73
2024-01-07 07:00:00+01:00,0.1,1428.64,6304.0,753.82,0.06,401.68
2024-01-07 08:00:00+01:00,0.0,1438.2,6303.0,776.44,0.22,399.42
2024-01-07 09:00:00+01:00,0.6,1441.87,6306.0,811.42,2.26,378.43
2024-01-07 10:00:00+01:00,0.1,1441.34,6305.0,810.93,8.79,344.51
2024-01-07 11:00:00+01:00,0.1,1572.09,6305.0,813.25,16.31,303.13
2024-01-07 12:00:00+01:00,0.1,1561.11,6305.0,824.52,18.18,299.37
2024-01-07 13:00:00+01:00,0.1,1479.72,6304.0,832.79,13.38,321.89
2024-01-07 14:00:00+01:00,0.1,1491.6,6303.0,830.15,5.28,343.17
2024-01-07 15:00:00+01:00,0.5,1574.53,6303.0,847.5,0.98,392.16
2024-01-07 16:00:00+01:00,0.4,1624.41,6303.0,851.43,0.06,452.19
2024-01-07 17:00:00+01:00,0.2,1644.06,6304.0,851.97,0.06,525.82
2024-01-07 18:00:00+01:00,0.1,1654.81,6302.0,859.42,0.06,530.06
2024-01-07 19:00:00+01:00,0.1,1653.75,6302.0,858.72,0.06,563.1
2024-01-07 20:00:00+01:00,0.1,1652.11,6302.0,836.33,0.06,561.68
2024-01-07 21:00:00+01:00,0.1,1509.7,6302.0,806.8,0.06,567.89
2024-01-07 22:00:00+01:00,0.1,1440.21,6304.0,784.81,0.06,572.01
2024-01-07 23:00:00+01:00,0.1,1413.28,6305.0,750.05,0.06,591.31
2024-01-08 00:00:00+01:00,0.1,1364.43,6307.0,696.65,0.0,609.16
2024-01-08 01:00:00+01:00,0.1,1328.51,6310.0,687.51,0.0,655.8
2024-01-08 02:00:00+01:00,0.1,1324.5,6310.0,673.24,0.0,718.75
2024-01-08 03:00:00+01:00,0.1,1311.7,6309.0,684.75,0.0,748.95
2024-01-08 04:00:00+01:00,0.1,1311.3,6311.0,725.81,0.0,812.25
2024-01-08 05:00:00+01:00,0.1,1323.67,6310.0,793.1,0.0,862.56
2024-01-08 06:00:00+01:00,0.1,1469.01,6310.0,892.31,0.0,970.09
2024-01-08 07:00:00+01:00,0.0,1722.65,6310.0,930.48,0.0,1147.95
2024-01-08 08:00:00+01:00,0.0,1731.37,6308.0,935.92,0.22,1193.1
2024-01-08 09:00:00+01:00,0.0,1734.82,6309.0,950.42,3.24,1236.33
2024-01-08 10:00:00+01:00,0.0,1735.85,6309.0,954.86,11.95,1214.06
2024-01-08 11:00:00+01:00,0.0,1656.73,6310.0,933.34,20.64,1210.73
2024-01-08 12:00:00+01:00,0.1,1645.3,6309.0,913.91,22.75,1193.14
2024-01-08 13:00:00+01:00,0.1,1613.72,6308.0,908.73,16.11,1203.08
2024-01-08 14:00:00+01:00,0.1,1625.68,6305.0,947.6,6.02,1252.66
2024-01-08 15:00:00+01:00,0.1,1661.31,6305.0,963.55,0.94,1315.75
2024-01-08 16:00:00+01:00,0.1,1695.51,6305.0,962.43,0.0,1356.32
2024-01-08 17:00:00+01:00,0.1,1754.56,6306.0,943.68,0.0,1364.11
2024-01-08 18:00:00+01:00,0.1,1753.23,6306.0,947.95,0.0,1336.84
2024-01-08 19:00:00+01:00,0.1,1750.65,6304.0,946.89,0.0,1292.92
2024-01-08 20:00:00+01:00,0.1,1659.05,6304.0,946.51,0.0,1247.07
2024-01-08 21:00:00+01:00,0.1,1426.81,6304.0,900.73,0.0,1222.66
2024-01-08 22:00:00+01:00,0.1,1385.54,6305.0,807.91,0.0,1244.89
2024-01-08 23:00:00+01:00,0.1,1381.44,6304.0,752.27,0.0,1335.75
2024-01-09 00:00:00+01:00,0.1,1358.9,6303.0,733.36,0.01,1491.54
2024-01-09 01:00:00+01:00,0.1,1302.35,6304.0,708.09,0.02,1531.8
2024-01-09 02:00:00+01:00,0.1,1242.42,6304.0,681.73,0.01,1597.18
2024-01-09 03:00:00+01:00,0.1,1227.1,6304.0,673.26,0.01,1617.71
2024-01-09 04:00:00+01:00,0.1,1225.3,6304.0,688.7,0.01,1643.76
2024-01-09 05:00:00+01:00,0.1,1242.25,6303.0,726.89,0.02,1618.82
2024-01-09 06:00:00+01:00,0.1,1362.15,6304.0,938.76,0.03,1640.68
