,0
2025-01-01 00:00:00+01:00,2.67
2025-01-01 01:00:00+01:00,2.04
2025-01-01 02:00:00+01:00,2.04
2025-01-01 03:00:00+01:00,1.54
2025-01-01 04:00:00+01:00,1.18
2025-01-01 05:00:00+01:00,2.38
2025-01-01 06:00:00+01:00,1.29
2025-01-01 07:00:00+01:00,1.49
2025-01-01 08:00:00+01:00,2.4
2025-01-01 09:00:00+01:00,2.7
2025-01-01 10:00:00+01:00,3.7
2025-01-01 11:00:00+01:00,3.86
2025-01-01 12:00:00+01:00,3.9
2025-01-01 13:00:00+01:00,3.96
2025-01-01 14:00:00+01:00,5.5
2025-01-01 15:00:00+01:00,12.28
2025-01-01 16:00:00+01:00,19.29
2025-01-01 17:00:00+01:00,21.43
2025-01-01 18:00:00+01:00,16.88
2025-01-01 19:00:00+01:00,10.11
2025-01-01 20:00:00+01:00,8.01
2025-01-01 21:00:00+01:00,6.76
2025-01-01 22:00:00+01:00,9.8
2025-01-01 23:00:00+01:00,7.01
2025-01-02 00:00:00+01:00,2.95
2025-01-02 01:00:00+01:00,2.82
2025-01-02 02:00:00+01:00,3.67
2025-01-02 03:00:00+01:00,6.84
2025-01-02 04:00:00+01:00,12.29
2025-01-02 05:00:00+01:00,21.44
2025-01-02 06:00:00+01:00,39.94
2025-01-02 07:00:00+01:00,93.41
2025-01-02 08:00:00+01:00,118.62
2025-01-02 09:00:00+01:00,124.2
2025-01-02 10:00:00+01:00,123.32
2025-01-02 11:00:00+01:00,110.47
2025-01-02 12:00:00+01:00,100.49
2025-01-02 13:00:00+01:00,105.62
2025-01-02 14:00:00+01:00,111.95
2025-01-02 15:00:00+01:00,127.01
2025-01-02 16:00:00+01:00,135.26
2025-01-02 17:00:00+01:00,149.82
2025-01-02 18:00:00+01:00,146.16
2025-01-02 19:00:00+01:00,107.56
2025-01-02 20:00:00+01:00,102.8
2025-01-02 21:00:00+01:00,75.55
2025-01-02 22:00:00+01:00,61.57
2025-01-02 23:00:00+01:00,48.95
2025-01-03 00:00:00+01:00,42.76
2025-01-03 01:00:00+01:00,38.13
2025-01-03 02:00:00+01:00,35.21
2025-01-03 03:00:00+01:00,33.43
2025-01-03 04:00:00+01:00,30.01
2025-01-03 05:00:00+01:00,30.79
2025-01-03 06:00:00+01:00,38.42
2025-01-03 07:00:00+01:00,52.14
2025-01-03 08:00:00+01:00,80.6
2025-01-03 09:00:00+01:00,81.18
2025-01-03 10:00:00+01:00,75.79
2025-01-03 11:00:00+01:00,69.02
2025-01-03 12:00:00+01:00,54.48
2025-01-03 13:00:00+01:00,52.96
2025-01-03 14:00:00+01:00,53.79
2025-01-03 15:00:00+01:00,73.09
2025-01-03 16:00:00+01:00,100.53
2025-01-03 17:00:00+01:00,105.93
2025-01-03 18:00:00+01:00,108.67
2025-01-03 19:00:00+01:00,100.81
2025-01-03 20:00:00+01:00,83.1
2025-01-03 21:00:00+01:00,80.9
2025-01-03 22:00:00+01:00,67.33
2025-01-03 23:00:00+01:00,67.94
2025-01-04 00:00:00+01:00,50.63
2025-01-04 01:00:00+01:00,47.26
2025-01-04 02:00:00+01:00,43.56
2025-01-04 03:00:00+01:00,43.56
2025-01-04 04:00:00+01:00,42.51
2025-01-04 05:00:00+01:00,42.8
2025-01-04 06:00:00+01:00,57.25
2025-01-04 07:00:00+01:00,83.71
2025-01-04 08:00:00+01:00,99.69
2025-01-04 09:00:00+01:00,105.28
2025-01-04 10:00:00+01:00,105.83
2025-01-04 11:00:00+01:00,105.04
2025-01-04 12:00:00+01:00,102.89
2025-01-04 13:00:00+01:00,77.59
2025-01-04 14:00:00+01:00,111.13
2025-01-04 15:00:00+01:00,135.43
2025-01-04 16:00:00+01:00,141.79
2025-01-04 17:00:00+01:00,148.35
2025-01-04 18:00:00+01:00,140.49
2025-01-04 19:00:00+01:00,133.63
2025-01-04 20:00:00+01:00,117.95
2025-01-04 21:00:00+01:00,113.97
2025-01-04 22:00:00+01:00,73.67
2025-01-04 23:00:00+01:00,61.45
2025-01-05 00:00:00+01:00,54.21
2025-01-05 01:00:00+01:00,54.89
2025-01-05 02:00:00+01:00,55.85
2025-01-05 03:00:00+01:00,57.77
2025-01-05 04:00:00+01:00,66.5
2025-01-05 05:00:00+01:00,67.7
2025-01-05 06:00:00+01:00,81.24
2025-01-05 07:00:00+01:00,81.89
2025-01-05 08:00:00+01:00,85.46
2025-01-05 09:00:00+01:00,89.55
2025-01-05 10:00:00+01:00,84.29
2025-01-05 11:00:00+01:00,91.0
2025-01-05 12:00:00+01:00,83.66
2025-01-05 13:00:00+01:00,78.72
2025-01-05 14:00:00+01:00,68.27
2025-01-05 15:00:00+01:00,51.99
2025-01-05 16:00:00+01:00,51.15
2025-01-05 17:00:00+01:00,66.62
2025-01-05 18:00:00+01:00,64.06
2025-01-05 19:00:00+01:00,51.41
2025-01-05 20:00:00+01:00,36.88
2025-01-05 21:00:00+01:00,36.93
2025-01-05 22:00:00+01:00,34.66
2025-01-05 23:00:00+01:00,28.07
2025-01-06 00:00:00+01:00,27.44
2025-01-06 01:00:00+01:00,23.68
2025-01-06 02:00:00+01:00,19.6
2025-01-06 03:00:00+01:00,16.76
2025-01-06 04:00:00+01:00,15.57
2025-01-06 05:00:00+01:00,14.91
2025-01-06 06:00:00+01:00,24.92
2025-01-06 07:00:00+01:00,30.42
2025-01-06 08:00:00+01:00,38.19
2025-01-06 09:00:00+01:00,35.55
2025-01-06 10:00:00+01:00,34.48
2025-01-06 11:00:00+01:00,32.63
2025-01-06 12:00:00+01:00,30.77
2025-01-06 13:00:00+01:00,28.5
2025-01-06 14:00:00+01:00,25.41
2025-01-06 15:00:00+01:00,26.14
2025-01-06 16:00:00+01:00,26.7
2025-01-06 17:00:00+01:00,31.7
2025-01-06 18:00:00+01:00,31.91
2025-01-06 19:00:00+01:00,28.07
2025-01-06 20:00:00+01:00,22.82
2025-01-06 21:00:00+01:00,13.47
2025-01-06 22:00:00+01:00,15.26
2025-01-06 23:00:00+01:00,8.24
2025-01-07 00:00:00+01:00,10.28
2025-01-07 01:00:00+01:00,6.98
2025-01-07 02:00:00+01:00,5.33
2025-01-07 03:00:00+01:00,4.17
2025-01-07 04:00:00+01:00,5.01
2025-01-07 05:00:00+01:00,5.66
2025-01-07 06:00:00+01:00,28.02
2025-01-07 07:00:00+01:00,36.03
2025-01-07 08:00:00+01:00,37.25
2025-01-07 09:00:00+01:00,35.01
2025-01-07 10:00:00+01:00,34.27
2025-01-07 11:00:00+01:00,34.65
2025-01-07 12:00:00+01:00,33.3
2025-01-07 13:00:00+01:00,33.27
2025-01-07 14:00:00+01:00,33.22
2025-01-07 15:00:00+01:00,33.22
2025-01-07 16:00:00+01:00,35.01
2025-01-07 17:00:00+01:00,36.27
2025-01-07 18:00:00+01:00,34.98
2025-01-07 19:00:00+01:00,32.93
2025-01-07 20:00:00+01:00,23.23
2025-01-07 21:00:00+01:00,6.2
2025-01-07 22:00:00+01:00,4.86
2025-01-07 23:00:00+01:00,3.87
2025-01-08 00:00:00+01:00,12.43
2025-01-08 01:00:00+01:00,12.88
2025-01-08 02:00:00+01:00,17.61
2025-01-08 03:00:00+01:00,16.83
2025-01-08 04:00:00+01:00,20.25
2025-01-08 05:00:00+01:00,22.52
2025-01-08 06:00:00+01:00,24.94
2025-01-08 07:00:00+01:00,43.64
2025-01-08 08:00:00+01:00,56.46
2025-01-08 09:00:00+01:00,65.07
2025-01-08 10:00:00+01:00,69.3
2025-01-08 11:00:00+01:00,70.87
2025-01-08 12:00:00+01:00,69.33
2025-01-08 13:00:00+01:00,74.28
2025-01-08 14:00:00+01:00,81.03
2025-01-08 15:00:00+01:00,105.35
2025-01-08 16:00:00+01:00,132.6
2025-01-08 17:00:00+01:00,152.54
2025-01-08 18:00:00+01:00,145.45
2025-01-08 19:00:00+01:00,142.89
2025-01-08 20:00:00+01:00,109.92
2025-01-08 21:00:00+01:00,94.67
2025-01-08 22:00:00+01:00,75.72
2025-01-08 23:00:00+01:00,50.91
2025-01-09 00:00:00+01:00,33.87
2025-01-09 01:00:00+01:00,31.84
2025-01-09 02:00:00+01:00,31.32
2025-01-09 03:00:00+01:00,31.89
2025-01-09 04:00:00+01:00,33.69
2025-01-09 05:00:00+01:00,43.36
2025-01-09 06:00:00+01:00,67.62
2025-01-09 07:00:00+01:00,146.11
2025-01-09 08:00:00+01:00,161.99
2025-01-09 09:00:00+01:00,153.81
2025-01-09 10:00:00+01:00,145.44
2025-01-09 11:00:00+01:00,140.78
2025-01-09 12:00:00+01:00,128.67
2025-01-09 13:00:00+01:00,121.61
2025-01-09 14:00:00+01:00,124.43
2025-01-09 15:00:00+01:00,129.84
2025-01-09 16:00:00+01:00,131.36
2025-01-09 17:00:00+01:00,134.38
2025-01-09 18:00:00+01:00,138.13
2025-01-09 19:00:00+01:00,125.87
2025-01-09 20:00:00+01:00,119.39
2025-01-09 21:00:00+01:00,102.47
2025-01-09 22:00:00+01:00,96.81
2025-01-09 23:00:00+01:00,68.02
2025-01-10 00:00:00+01:00,66.47
2025-01-10 01:00:00+01:00,54.36
2025-01-10 02:00:00+01:00,51.14
2025-01-10 03:00:00+01:00,47.5
2025-01-10 04:00:00+01:00,49.22
2025-01-10 05:00:00+01:00,58.34
2025-01-10 06:00:00+01:00,96.72
2025-01-10 07:00:00+01:00,124.08
2025-01-10 08:00:00+01:00,139.64
2025-01-10 09:00:00+01:00,136.12
2025-01-10 10:00:00+01:00,123.42
2025-01-10 11:00:00+01:00,113.74
2025-01-10 12:00:00+01:00,107.94
2025-01-10 13:00:00+01:00,104.67
2025-01-10 14:00:00+01:00,109.12
2025-01-10 15:00:00+01:00,125.61
2025-01-10 16:00:00+01:00,130.48
2025-01-10 17:00:00+01:00,137.95
2025-01-10 18:00:00+01:00,136.07
2025-01-10 19:00:00+01:00,95.62
2025-01-10 20:00:00+01:00,55.31
2025-01-10 21:00:00+01:00,45.4
2025-01-10 22:00:00+01:00,40.07
2025-01-10 23:00:00+01:00,33.64
2025-01-11 00:00:00+01:00,28.43
2025-01-11 01:00:00+01:00,21.7
2025-01-11 02:00:00+01:00,17.58
2025-01-11 03:00:00+01:00,10.01
2025-01-11 04:00:00+01:00,17.36
2025-01-11 05:00:00+01:00,24.73
2025-01-11 06:00:00+01:00,27.05
2025-01-11 07:00:00+01:00,34.96
2025-01-11 08:00:00+01:00,38.29
