time,model,predicted,actual
2026-06-12 03:15:00+00:00,naive,83.98,92.82
2026-06-12 03:30:00+00:00,naive,89.81,97.96
2026-06-12 03:45:00+00:00,naive,100.53,103.86
2026-06-12 04:00:00+00:00,naive,106.08,108.38
2026-06-12 04:15:00+00:00,naive,106.02,118.14
2026-06-12 04:30:00+00:00,naive,106.92,120.46
2026-06-12 04:45:00+00:00,naive,107.67,122.49
2026-06-12 05:00:00+00:00,naive,123.48,125.81
2026-06-12 05:15:00+00:00,naive,118.31,124.74
2026-06-12 05:30:00+00:00,naive,118.31,120.24
2026-06-12 05:45:00+00:00,naive,113.09,118.84
2026-06-12 06:00:00+00:00,naive,119.25,133.7
2026-06-12 06:15:00+00:00,naive,114.73,129.63
2026-06-12 06:30:00+00:00,naive,110.47,120.28
2026-06-12 06:45:00+00:00,naive,103.09,115.27
2026-06-12 07:00:00+00:00,naive,116.25,121.33
2026-06-12 07:15:00+00:00,naive,110.62,117.06
2026-06-12 07:30:00+00:00,naive,91.75,109.92
2026-06-12 07:45:00+00:00,naive,73.03,105.2
2026-06-12 08:00:00+00:00,naive,105.14,109.97
2026-06-12 08:15:00+00:00,naive,92.54,102.83
2026-06-12 08:30:00+00:00,naive,75.51,95.78
2026-06-12 08:45:00+00:00,naive,70.92,90.51
2026-06-12 09:00:00+00:00,naive,81.83,95.52
2026-06-12 09:15:00+00:00,naive,76.0,91.33
2026-06-12 09:30:00+00:00,naive,64.56,89.58
2026-06-12 09:45:00+00:00,naive,59.77,84.87
2026-06-12 10:00:00+00:00,naive,58.16,82.97
2026-06-12 10:15:00+00:00,naive,47.7,78.98
2026-06-12 10:30:00+00:00,naive,41.15,82.58
2026-06-12 10:45:00+00:00,naive,36.97,80.01
2026-06-12 11:00:00+00:00,naive,44.12,74.03
2026-06-12 11:15:00+00:00,naive,37.36,72.82
2026-06-12 11:30:00+00:00,naive,34.69,70.88
2026-06-12 11:45:00+00:00,naive,24.86,65.69
2026-06-12 12:00:00+00:00,naive,26.29,59.38
2026-06-12 12:15:00+00:00,naive,24.81,59.34
2026-06-12 12:30:00+00:00,naive,27.36,59.87
2026-06-12 12:45:00+00:00,naive,31.82,62.55
2026-06-12 13:00:00+00:00,naive,16.48,52.66
2026-06-12 13:15:00+00:00,naive,28.42,51.41
2026-06-12 13:30:00+00:00,naive,47.02,59.61
2026-06-12 13:45:00+00:00,naive,66.77,64.41
2026-06-12 14:00:00+00:00,naive,46.39,53.12
2026-06-12 14:15:00+00:00,naive,61.88,60.44
2026-06-12 14:30:00+00:00,naive,80.46,67.35
2026-06-12 14:45:00+00:00,naive,106.19,70.55
2026-06-12 15:00:00+00:00,naive,72.57,61.62
2026-06-12 15:15:00+00:00,naive,99.48,75.53
2026-06-12 15:30:00+00:00,naive,117.74,87.28
2026-06-12 15:45:00+00:00,naive,135.79,93.45
2026-06-12 16:00:00+00:00,naive,102.39,87.33
2026-06-12 16:15:00+00:00,naive,123.15,95.02
2026-06-12 16:30:00+00:00,naive,140.32,104.05
2026-06-12 16:45:00+00:00,naive,160.99,117.82
2026-06-12 17:00:00+00:00,naive,129.86,101.77
2026-06-12 17:15:00+00:00,naive,147.77,101.18
2026-06-12 17:30:00+00:00,naive,161.88,102.32
2026-06-12 17:45:00+00:00,naive,174.33,101.99
2026-06-12 18:00:00+00:00,naive,165.4,110.78
2026-06-12 18:15:00+00:00,naive,173.6,110.72
2026-06-12 18:30:00+00:00,naive,189.87,109.17
2026-06-12 18:45:00+00:00,naive,191.32,110.76
2026-06-12 19:00:00+00:00,naive,196.12,113.08
2026-06-12 19:15:00+00:00,naive,193.9,111.61
2026-06-12 19:30:00+00:00,naive,189.1,110.91
2026-06-12 19:45:00+00:00,naive,181.31,108.87
2026-06-12 20:00:00+00:00,naive,184.17,111.54
2026-06-12 20:15:00+00:00,naive,171.94,110.97
2026-06-12 20:30:00+00:00,naive,164.89,110.82
2026-06-12 20:45:00+00:00,naive,159.1,105.56
2026-06-12 21:00:00+00:00,naive,164.81,106.47
2026-06-12 21:15:00+00:00,naive,154.29,100.48
2026-06-12 21:30:00+00:00,naive,148.58,98.94
2026-06-12 21:45:00+00:00,naive,141.57,92.58
2026-06-12 22:00:00+00:00,naive,79.8,106.52
2026-06-12 22:15:00+00:00,naive,112.93,88.45
2026-06-12 22:30:00+00:00,naive,105.9,77.54
2026-06-12 22:45:00+00:00,naive,97.73,68.6
2026-06-12 23:00:00+00:00,naive,109.62,83.87
