,Solar,Wind Onshore
2025-11-03 00:00:00+01:00,0.73425,252.26425
2025-11-03 01:00:00+01:00,0.76825,221.59875
2025-11-03 02:00:00+01:00,0.81775,188.20175
2025-11-03 03:00:00+01:00,0.8135,170.66825
2025-11-03 04:00:00+01:00,0.79475,168.21975
2025-11-03 05:00:00+01:00,0.7815,177.70075
2025-11-03 06:00:00+01:00,0.769,200.59225
2025-11-03 07:00:00+01:00,1.51125,229.8855
2025-11-03 08:00:00+01:00,13.932,254.181
2025-11-03 09:00:00+01:00,38.466,267.80125
2025-11-03 10:00:00+01:00,65.19175,293.0495
2025-11-03 11:00:00+01:00,95.4585,336.71325
2025-11-03 12:00:00+01:00,111.27825,377.1585
2025-11-03 13:00:00+01:00,94.3475,396.24275
2025-11-03 14:00:00+01:00,52.79475,403.3655
2025-11-03 15:00:00+01:00,18.49025,432.33925
2025-11-03 16:00:00+01:00,3.10025,528.03075
2025-11-03 17:00:00+01:00,0.62325,659.1455
2025-11-03 18:00:00+01:00,0.66925,800.9855
2025-11-03 19:00:00+01:00,0.75175,931.684
2025-11-03 20:00:00+01:00,0.76425,1041.08125
2025-11-03 21:00:00+01:00,0.76325,1117.381
2025-11-03 22:00:00+01:00,0.75025,1162.40725
2025-11-03 23:00:00+01:00,0.72375,1200.51625
2025-11-04 00:00:00+01:00,0.9725,1172.37025
2025-11-04 01:00:00+01:00,1.008,1080.477
2025-11-04 02:00:00+01:00,0.966,1052.697
2025-11-04 03:00:00+01:00,0.9605,1011.00275
2025-11-04 04:00:00+01:00,0.9585,981.62425
2025-11-04 05:00:00+01:00,0.95825,984.3055
2025-11-04 06:00:00+01:00,0.96925,1005.75825
2025-11-04 07:00:00+01:00,1.19475,1146.07425
2025-11-04 08:00:00+01:00,3.78775,1169.37075
2025-11-04 09:00:00+01:00,8.3985,1204.33475
2025-11-04 10:00:00+01:00,18.914,1232.89975
2025-11-04 11:00:00+01:00,23.72425,1241.63325
2025-11-04 12:00:00+01:00,23.01025,1195.56975
2025-11-04 13:00:00+01:00,18.97625,1180.96575
2025-11-04 14:00:00+01:00,8.53975,1133.7915
2025-11-04 15:00:00+01:00,3.608,1108.4695
2025-11-04 16:00:00+01:00,1.84925,1101.03075
2025-11-04 17:00:00+01:00,0.95225,1095.43
2025-11-04 18:00:00+01:00,0.98525,1081.7905
2025-11-04 19:00:00+01:00,0.98975,1060.449
2025-11-04 20:00:00+01:00,0.993,1030.31875
2025-11-04 21:00:00+01:00,0.99075,950.66775
2025-11-04 22:00:00+01:00,0.9855,851.66825
2025-11-04 23:00:00+01:00,0.94925,792.0415
2025-11-05 00:00:00+01:00,1.062,609.77875
2025-11-05 01:00:00+01:00,1.06275,556.3095
2025-11-05 02:00:00+01:00,1.02775,534.152
2025-11-05 03:00:00+01:00,1.0325,517.89975
2025-11-05 04:00:00+01:00,1.03625,517.66925
2025-11-05 05:00:00+01:00,1.05325,597.5285
2025-11-05 06:00:00+01:00,1.073,808.0335
2025-11-05 07:00:00+01:00,1.441,818.47425
2025-11-05 08:00:00+01:00,12.15625,786.54625
2025-11-05 09:00:00+01:00,35.98525,740.85875
2025-11-05 10:00:00+01:00,62.502,683.5245
2025-11-05 11:00:00+01:00,85.01725,630.4455
2025-11-05 12:00:00+01:00,88.56575,580.72175
2025-11-05 13:00:00+01:00,67.97025,537.28625
2025-11-05 14:00:00+01:00,33.26625,523.63875
2025-11-05 15:00:00+01:00,8.08275,529.51875
2025-11-05 16:00:00+01:00,2.4035,550.9565
2025-11-05 17:00:00+01:00,1.0225,565.48925
2025-11-05 18:00:00+01:00,0.8925,569.60775
2025-11-05 19:00:00+01:00,0.931,569.11225
2025-11-05 20:00:00+01:00,0.959,557.76025
2025-11-05 21:00:00+01:00,0.93275,532.83375
2025-11-05 22:00:00+01:00,0.944,510.3835
2025-11-05 23:00:00+01:00,0.94375,485.74325
2025-11-06 00:00:00+01:00,0.841,479.14375
2025-11-06 01:00:00+01:00,0.83425,446.39375
2025-11-06 02:00:00+01:00,0.83225,415.11025
2025-11-06 03:00:00+01:00,0.832,386.5185
2025-11-06 04:00:00+01:00,0.8025,364.914
2025-11-06 05:00:00+01:00,0.81575,355.02125
2025-11-06 06:00:00+01:00,0.82975,357.20825
2025-11-06 07:00:00+01:00,1.92575,360.0955
2025-11-06 08:00:00+01:00,22.111,354.9885
2025-11-06 09:00:00+01:00,74.69425,340.43625
2025-11-06 10:00:00+01:00,121.09925,290.5055
2025-11-06 11:00:00+01:00,153.131,225.06825
2025-11-06 12:00:00+01:00,162.6185,180.88525
2025-11-06 13:00:00+01:00,141.68625,167.4595
2025-11-06 14:00:00+01:00,79.03125,178.91175
2025-11-06 15:00:00+01:00,18.4835,222.68475
2025-11-06 16:00:00+01:00,2.54625,292.04875
2025-11-06 17:00:00+01:00,0.873,355.86725
2025-11-06 18:00:00+01:00,0.8365,412.55575
2025-11-06 19:00:00+01:00,0.8755,457.22425
2025-11-06 20:00:00+01:00,0.871,483.277
2025-11-06 21:00:00+01:00,0.86675,499.84175
2025-11-06 22:00:00+01:00,0.876,509.317
2025-11-06 23:00:00+01:00,0.88825,510.08375
2025-11-07 00:00:00+01:00,0.8605,489.537
2025-11-07 01:00:00+01:00,0.855,438.89825
2025-11-07 02:00:00+01:00,0.8565,388.42575
2025-11-07 03:00:00+01:00,0.856,353.581
2025-11-07 04:00:00+01:00,0.825,331.21225
2025-11-07 05:00:00+01:00,0.841,335.543
2025-11-07 06:00:00+01:00,0.84,371.17825
2025-11-07 07:00:00+01:00,2.1015,421.3765
2025-11-07 08:00:00+01:00,23.7065,434.188
2025-11-07 09:00:00+01:00,81.64375,405.05075
2025-11-07 10:00:00+01:00,127.88325,334.7435
2025-11-07 11:00:00+01:00,156.9105,268.871
2025-11-07 12:00:00+01:00,159.276,224.45775
2025-11-07 13:00:00+01:00,129.076,186.79925
2025-11-07 14:00:00+01:00,73.913,172.75225
2025-11-07 15:00:00+01:00,17.5795,192.793
2025-11-07 16:00:00+01:00,2.54075,236.687
2025-11-07 17:00:00+01:00,0.87375,278.766
2025-11-07 18:00:00+01:00,0.853,319.165
2025-11-07 19:00:00+01:00,0.88425,332.15775
2025-11-07 20:00:00+01:00,0.884,299.269
2025-11-07 21:00:00+01:00,0.88775,245.73175
2025-11-07 22:00:00+01:00,0.89625,196.711
2025-11-07 23:00:00+01:00,0.9135,146.629
2025-11-08 00:00:00+01:00,1.02,84.037
2025-11-08 01:00:00+01:00,0.9805,57.47575
2025-11-08 02:00:00+01:00,0.98,38.86525
