,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
2024-01-01 00:00:00+01:00,106.1,13.4,101.6,0.0,48.8,15.7,,754.3,49.2,2428.1,117.8,55.4,0.0,0.3
2024-01-01 01:00:00+01:00,106.4,13.1,100.1,0.0,49.1,,99.8,709.8,21.3,2431.0,119.9,55.1,0.0,0.2
2024-01-01 02:00:00+01:00,107.1,13.1,99.6,0.0,49.2,,300.3,651.5,20.7,2435.2,120.4,55.4,0.0,0.2
2024-01-01 03:00:00+01:00,106.8,12.9,96.8,0.0,49.0,,304.9,613.0,19.5,2437.6,120.5,54.9,0.0,0.5
2024-01-01 04:00:00+01:00,109.1,13.8,104.2,0.0,49.4,,308.8,627.0,19.7,2435.8,121.4,54.5,0.0,0.7
2024-01-01 05:00:00+01:00,108.1,13.7,107.8,0.0,50.5,,312.9,626.8,19.6,2441.6,123.6,54.4,0.0,0.7
2024-01-01 06:00:00+01:00,108.5,13.0,101.5,0.0,50.6,,29.6,701.9,27.5,2445.4,123.4,54.9,0.0,0.9
2024-01-01 07:00:00+01:00,108.5,12.3,93.0,0.0,50.4,,111.1,717.7,27.5,2448.8,122.6,53.8,0.4,0.8
2024-01-01 08:00:00+01:00,106.3,12.8,99.2,0.0,50.1,,83.3,737.0,55.5,2446.2,122.1,53.4,1.3,0.7
2024-01-01 09:00:00+01:00,107.8,14.0,111.7,0.0,50.1,19.7,,774.3,65.1,2440.4,122.6,55.1,7.2,0.4
2024-01-01 10:00:00+01:00,106.8,14.1,113.5,0.0,50.0,22.4,,779.1,67.6,2439.6,122.5,52.5,22.1,0.5
2024-01-01 11:00:00+01:00,107.3,13.6,111.1,0.0,49.8,1.7,,773.6,36.0,2440.6,123.0,52.8,61.6,0.6
2024-01-01 12:00:00+01:00,107.5,12.5,100.1,0.0,49.6,2.1,,755.5,35.5,2440.5,123.5,51.3,119.4,0.7
2024-01-01 13:00:00+01:00,106.4,13.7,112.8,0.0,49.7,2.3,,790.7,36.1,2435.0,122.7,53.0,94.6,1.0
2024-01-01 14:00:00+01:00,103.7,14.0,117.5,0.0,49.5,11.1,,841.1,53.9,2433.9,124.4,53.5,52.9,1.0
2024-01-01 15:00:00+01:00,106.1,14.2,137.0,0.0,49.7,35.8,,885.5,82.2,2432.2,125.7,53.9,12.1,0.9
2024-01-01 16:00:00+01:00,110.7,14.0,130.7,0.0,49.6,295.0,,877.8,78.2,2431.3,122.2,53.5,0.1,1.1
2024-01-01 17:00:00+01:00,112.0,13.5,122.1,0.0,49.4,333.7,,855.1,115.2,2435.4,120.3,52.2,0.0,1.0
2024-01-01 18:00:00+01:00,113.3,14.0,129.1,0.0,49.0,419.5,,868.7,128.7,2434.4,122.2,52.7,0.0,0.9
2024-01-01 19:00:00+01:00,107.9,14.0,129.9,0.0,48.9,424.2,,874.2,129.2,2437.0,122.1,52.8,0.0,1.0
2024-01-01 20:00:00+01:00,108.1,13.8,111.8,0.0,49.8,325.9,,887.8,103.7,2438.7,122.8,53.7,0.0,1.1
2024-01-01 21:00:00+01:00,107.0,14.0,114.4,0.0,49.0,34.9,,876.5,78.0,2440.8,122.6,53.5,0.0,0.9
2024-01-01 22:00:00+01:00,105.0,13.9,116.0,0.0,46.8,38.5,,897.6,92.2,2441.8,122.1,54.2,0.0,0.7
2024-01-01 23:00:00+01:00,102.8,13.6,112.7,0.0,44.9,63.4,,903.4,119.9,2444.9,121.1,54.6,0.0,0.7
2024-01-02 00:00:00+01:00,99.4,15.0,96.3,0.0,45.0,,299.7,786.9,28.0,2444.9,119.8,54.3,0.0,0.5
